樞	枢	shū	hinge/pivot
中樞神經系統	中枢神经系统	zhōng shū shén jīng xì tǒng	central nervous system, CNS
交通樞紐	交通枢纽	jiāo tōng shū niǔ	traffic hub
天樞	天枢	Tiān shū	alpha Ursae Majoris
天樞星	天枢星	tiān shū xīng	alpha Ursae Majoris in the Big Dipper
戶樞不蠹	户枢不蠹	hù shū bù dù	lit. a door hinge never becomes worm-eaten/constant activity prevents decay (idiom)
中樞	中枢	zhōng shū	center/backbone/hub (e.g. of transport network)/the central administration
樞垣	枢垣	shū yuán	censorate
樞密院	枢密院	shū mì yuàn	privy council
樞機	枢机	shū jī	cardinal (Catholicism)
樞機主教	枢机主教	shū jī zhǔ jiào	cardinal (of the Catholic Church)
樞紐	枢纽	shū niǔ	hub (e.g. of traffic network)/hinge/pivot/fulcrum
樞軸	枢轴	shū zhóu	pivot/fulcrum
流水不腐，戶樞不蠹	流水不腐，户枢不蠹	liú shuǐ bù fǔ , hù shū bù dù	lit. flowing water does not rot, nor a door-hinge rust (idiom)/fig. constant activity prevents decay
要樞	要枢	yào shū	important traffic hub/key crossroad
靈樞經	灵枢经	Líng shū jīng	the Divine Pivot or Spiritual Pivot, ancient Chinese medical text
