樹	树	shù	tree/CL:棵[kē]/to cultivate/to set up
不要在一棵樹上吊死	不要在一棵树上吊死	bù yào zài yī kē shù shàng diào sǐ	don't insist on only taking one road to Rome (idiom)/there's more than one way to skin a cat
二叉樹	二叉树	èr chā shù	binary tree
五倍子樹	五倍子树	wǔ bèi zi shù	Chinese sumac (Rhus chinensis)
休氏樹鶯	休氏树莺	Xiū shì shù yīng	(bird species of China) Hume's bush warbler (Horornis brunnescens)
全民義務植樹日	全民义务植树日	Quán mín Yì wù Zhí shù rì	National Tree Planting Day (March 12th), as known as Arbor Day 植樹節|植树节[Zhí shù jié]
冬青樹	冬青树	dōng qīng shù	holly
別樹一幟	别树一帜	bié shù yī zhì	lit. to fly one's banner on a solitary tree (idiom); fig. to act as a loner/to stand out/to develop one's own school/to have attitude of one's own
別樹一旗	别树一旗	bié shù yī qí	lit. to fly one's banner on a solitary tree (idiom); fig. to act as a loner/to stand out/to develop one's own school/to have attitude of one's own
前人栽樹，後人乘涼	前人栽树，后人乘凉	qián rén zāi shù , hòu rén chéng liáng	to enjoy the benefits of the hard work of one's predecessors. (idiom)
十年樹木，百年樹人	十年树木，百年树人	shí nián shù mù , bǎi nián shù rén	It takes ten years to nurture a tree, but a hundred years to train a man (idiom). A good education program takes a long time to develop.
古柯樹	古柯树	gǔ kē shù	coca plant (source of cocaine)
只見樹木不見森林	只见树木不见森林	zhǐ jiàn shù mù bù jiàn sēn lín	unable to see the wood for the trees/fig. only able to see isolated details, and not the bigger picture
周樹人	周树人	Zhōu Shù rén	Zhou Shuren, the real name of author Lu Xun 魯迅|鲁迅
國槐樹	国槐树	guó huái shù	locust tree (Sophora japonica)
塔尾樹鵲	塔尾树鹊	tǎ wěi shù què	(bird species of China) ratchet-tailed treepie (Temnurus temnurus)
多樹木	多树木	duō shù mù	wooded
大樹	大树	Dà shù	Tashu township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
大樹底下好乘涼	大树底下好乘凉	dà shù dǐ xià hǎo chéng liáng	lit. under a big tree the shade is plentiful (idiom)/fig. to benefit by proximity to an influential person
大樹菠蘿	大树菠萝	dà shù bō luó	jackfruit
大樹鄉	大树乡	Dà shù xiāng	Tashu township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
大樹鶯	大树莺	dà shù yīng	(bird species of China) chestnut-crowned bush warbler (Cettia major)
家族樹	家族树	jiā zú shù	a family tree
寬尾樹鶯	宽尾树莺	kuān wěi shù yīng	(bird species of China) Cetti's warbler (Cettia cetti)
小樹	小树	xiǎo shù	shrub/small tree/sapling/CL:棵[kē]
小樹林	小树林	xiǎo shù lín	grove
巴豆樹	巴豆树	bā dòu shù	croton bush (Croton tiglium), evergreen bush of Euphorbiaceae family 大戟科[dà jǐ kē], with seed having strong purgative properties
常綠樹	常绿树	cháng lǜ shù	evergreen tree
建樹	建树	jiàn shù	to make a contribution/to establish/to found/contribution
強腳樹鶯	强脚树莺	qiáng jiǎo shù yīng	(bird species of China) brown-flanked bush warbler (Horornis fortipes)
搖錢樹	摇钱树	yáo qián shù	a legendary tree that sheds coins when shaken/a source of easy money (idiom)
搜索樹	搜索树	sōu suǒ shù	search tree (computing)
撼樹蚍蜉	撼树蚍蜉	hàn shù pí fú	lit. an ant trying to shake a tree/to overrate oneself (idiom)
日本樹鶯	日本树莺	Rì běn shù yīng	(bird species of China) Japanese bush warbler (Cettia diphone)
月桂樹	月桂树	yuè guì shù	laurel tree (Laurus nobilis)/bay tree
月桂樹葉	月桂树叶	yuè guì shù yè	laurel leaf/bay leaf
李樹	李树	lǐ shù	plum tree
杏樹	杏树	xìng shù	apricot tree
村上春樹	村上春树	Cūn shàng Chūn shù	MURAKAMI Haruki (1949-), Japanese novelist and translator
松樹	松树	sōng shù	pine/pine tree/CL:棵[kē]
果樹	果树	guǒ shù	fruit tree/CL:棵[kē]
柏樹	柏树	bǎi shù	cypress tree/Taiwan pr. [bó shù]
柘樹	柘树	zhè shù	silkworm thorn tree
柳樹	柳树	liǔ shù	willow
栗樹鴨	栗树鸭	lì shù yā	(bird species of China) lesser whistling duck (Dendrocygna javanica)
桃樹	桃树	táo shù	peach tree/CL:株[zhū]
桉樹	桉树	ān shù	eucalyptus
桑樹	桑树	sāng shù	mulberry tree, with leaves used to feed silkworms
梣樹	梣树	chén shù	Chinese ash (Fraxinus chinensis)
梨樹	梨树	Lí shù	Lishu county in Siping 四平, Jilin/Lishu district of Jixi city 雞西|鸡西[Jī xī], Heilongjiang
梨樹	梨树	lí shù	pear tree
梨樹區	梨树区	Lí shù qū	Lishu district of Jixi city 雞西|鸡西[Jī xī], Heilongjiang
梨樹縣	梨树县	Lí shù xiàn	Lishu county in Siping 四平, Jilin
棕樹	棕树	zōng shù	palm tree
棕櫚樹	棕榈树	zōng lǘ shù	palm tree
棕腹樹鵲	棕腹树鹊	zōng fù shù què	(bird species of China) rufous treepie (Dendrocitta vagabunda)
棕頂樹鶯	棕顶树莺	zòng dǐng shù yīng	(bird species of China) grey-sided bush warbler (Cettia brunnifrons)
棗樹	枣树	zǎo shù	jujube tree/date tree/Zizyphus vulgaris/CL:棵[kē]
植樹	植树	zhí shù	to plant trees
植樹節	植树节	Zhí shù jié	Arbor Day (March 12th), also known as National Tree Planting Day 全民義務植樹日|全民义务植树日[Quán mín Yì wù Zhí shù rì]
植樹造林	植树造林	zhí shù zào lín	afforestation
楊樹	杨树	yáng shù	poplar tree/various trees of genus Populus
楓樹	枫树	fēng shù	maple
楓香樹	枫香树	fēng xiāng shù	Chinese sweetgum (Liquidambar formosana)
楸樹	楸树	qiū shù	Catalpa bungei or Manchurian Catalpa, a tea plant
榆樹	榆树	Yú shù	Yushu county level city in Changchun 長春|长春, Jilin
榆樹	榆树	yú shù	elm
榆樹市	榆树市	Yú shù shì	Yushu county level city in Changchun 長春|长春, Jilin
榕樹	榕树	róng shù	banyan
榿樹	桤树	qī shù	long peduncled alder (Alnus cremastogyne)/Alnus trebeculata
槐樹	槐树	huái shù	locust tree (Sophora japonica)
槭樹	槭树	qì shù	maple
槲樹	槲树	hú shù	Mongolian oak (Quercus dentata)/Daimyo oak
樅樹	枞树	cōng shù	fir
樟樹	樟树	Zhāng shù	Zhangshu county level city in Yichun 宜春[Yí chūn], Jiangxi
樟樹	樟树	zhāng shù	camphor/Cinnamonum camphara
樟樹市	樟树市	Zhāng shù shì	Zhangshu county level city in Yichun 宜春, Jiangxi
七葉樹	七叶树	qī yè shù	Chinese horse chestnut (Aesculus chinensis)
樹上開花	树上开花	shù shàng kāi huā	to deck the tree with false blossoms/to make something of no value appear valuable (idiom)
樹倒猢猻散	树倒猢狲散	shù dǎo hú sūn sàn	When the tree topples the monkeys scatter. (idiom); fig. an opportunist abandons an unfavorable cause/Rats leave a sinking ship.
樹冠	树冠	shù guān	treetop
