橋	桥	qiáo	bridge/CL:座[zuò]
五通橋	五通桥	Wǔ tōng qiáo	Wutongqiao district of Leshan city 樂山市|乐山市[Lè shān shì], Sichuan
五通橋區	五通桥区	Wǔ tōng qiáo qū	Wutongqiao district of Leshan city 樂山市|乐山市[Lè shān shì], Sichuan
亞歐大陸橋	亚欧大陆桥	Yà Ōu dà lù qiáo	Eurasian land bridge (rail line linking China and Europe)
你走你的陽關道，我過我的獨木橋	你走你的阳关道，我过我的独木桥	nǐ zǒu nǐ de Yáng guān Dào , wǒ guò wǒ de dú mù qiáo	lit. you hit the high road, I'll cross the log bridge (idiom)/fig. you go your way, I'll go mine/you do it your way, I'll do it mine
便橋	便桥	biàn qiáo	temporary bridge
全橋	全桥	quán qiáo	H bridge (electronics)
冰橋	冰桥	bīng qiáo	ice arch
前橋	前桥	Qián qiáo	Maebashi (surname or place name)
劍橋	剑桥	Jiàn qiáo	Cambridge
劍橋大學	剑桥大学	Jiàn qiáo Dà xué	University of Cambridge
十七孔橋	十七孔桥	Shí qī kǒng Qiáo	Seventeen-Arch Bridge in the Summer Palace 頤和園|颐和园[Yí hé yuán], Beijing
半橋	半桥	bàn qiáo	half bridge (electronics)
吊橋	吊桥	diào qiáo	drawbridge/suspension bridge
吳橋	吴桥	Wú qiáo	Wuqiao county in Cangzhou 滄州|沧州[Cāng zhōu], Hebei
吳橋縣	吴桥县	Wú qiáo xiàn	Wuqiao county in Cangzhou 滄州|沧州[Cāng zhōu], Hebei
咸陽橋	咸阳桥	Xián yáng Qiáo	Xianyang Bridge
埇橋	埇桥	Yǒng qiáo	Yongqiao district of Suzhou city 宿州市[Sù zhōu shì], Anhui
埇橋區	埇桥区	Yǒng qiáo qū	Yongqiao district of Suzhou city 宿州市[Sù zhōu shì], Anhui
大橋	大桥	Dà Qiáo	Da Qiao, one of the Two Qiaos, according to Romance of the Three Kingdoms 三國演義|三国演义[Sān guó Yǎn yì], the two great beauties of ancient China
大石橋	大石桥	Dà shí qiáo	Great stone bridge or Dashiqiao county level city in Yingkou 營口|营口, Liaoning
大石橋市	大石桥市	Dà shí qiáo shì	Great stone bridge or Dashiqiao county level city in Yingkou 營口|营口, Liaoning
天橋	天桥	Tiān qiáo	Tianqiao district of Jinan city 濟南市|济南市[Jǐ nán shì], Shandong/Tianqiao district in Beijing, formerly a center of folk culture
天橋	天桥	tiān qiáo	overhead walkway/pedestrian bridge
天橋區	天桥区	Tiān qiáo qū	Tianqiao district of Jinan city 濟南市|济南市[Jǐ nán shì], Shandong
天橋立	天桥立	Tiān qiáo lì	Ama-no-hashidate in the north of Kyōto prefecture 京都府 on the Sea of Japan
契約橋牌	契约桥牌	qì yuē qiáo pái	contract bridge (card game)
小橋	小桥	Xiǎo Qiáo	Xiao Qiao, one of the Two Qiaos, according to Romance of the Three Kingdoms 三國演義|三国演义[Sān guó Yǎn yì], the two great beauties of ancient China
布魯克林大橋	布鲁克林大桥	Bù lǔ kè lín Dà qiáo	Brooklyn Bridge
平橋	平桥	Píng qiáo	Pingqiao District of Xinyang City 信陽市|信阳市[Xìn yáng Shì], Henan
平橋區	平桥区	Píng qiáo Qū	Pingqiao District of Xinyang city 信陽市|信阳市[Xìn yáng Shì], Henan
康橋	康桥	Kāng qiáo	Cambridge (city), from a poem by Xu Zhimo 徐志摩
張春橋	张春桥	Zhāng Chūn qiáo	Zhang Chunqiao (1917-2005), one of the Gang of Four
心臟搭橋手術	心脏搭桥手术	xīn zàng dā qiáo shǒu shù	coronary bypass operation
懸索橋	悬索桥	xuán suǒ qiáo	suspension bridge
拱橋	拱桥	gǒng qiáo	arch bridge
新都橋	新都桥	Xīn dū qiáo	Xinduqiao town in Dartsendo county 康定縣|康定县[Kāng dìng xiàn], Garze Tibetan autonomous prefecture, Sichuan
新都橋鎮	新都桥镇	Xīn dū qiáo zhèn	Xinduqiao town in Dartsendo county 康定縣|康定县[Kāng dìng xiàn], Garze Tibetan autonomous prefecture, Sichuan
斷橋	断桥	Duàn Qiáo	The Broken Bridge (at West Lake in Hangzhou)
東海大橋	东海大桥	Dōng hǎi Dà qiáo	Donghai Bridge, 32.5 km bridge between Shanghai and the offshore Yangshan deep-water port
板梁橋	板梁桥	bǎn liáng qiáo	plate girder bridge
板橋	板桥	Bǎn qiáo	Banqiao or Panchiao city in Taiwan
板橋市	板桥市	Bǎn qiáo shì	Banqiao or Panchiao city in New Taipei City 新北市[Xīn běi shì], Taiwan
架橋	架桥	jià qiáo	to bridge/to put up a bridge
棧橋	栈桥	zhàn qiáo	a pier/a landing-stage/a loading trestle for goods or passengers/a platform
棧橋式碼頭	栈桥式码头	zhàn qiáo shì mǎ tou	jetty/pier
H橋	H桥	H qiáo	H bridge (electronics)
橋台	桥台	qiáo tái	abutment (architecture)
橋墩	桥墩	qiáo dūn	bridge pier
橋式整流器	桥式整流器	qiáo shì zhěng liú qì	bridge rectifier (electricity)
橋接	桥接	qiáo jiē	bridging (in computer networks)
橋接器	桥接器	qiáo jiē qì	bridge (networking)
橋本	桥本	Qiáo běn	Hashimoto (Japanese surname and place name)
橋本龍太郎	桥本龙太郎	Qiáo běn Lóng tài láng	HASHIMOTO Ryūtarō (1937-2006), Japanese politician, prime minister 1996-1998
橋東	桥东	Qiáo dōng	Qiaodong District (various)/Qiaodong District of Shijiazhuang City 石家莊市|石家庄市[Shí jiā zhuāng Shì], Hebei
橋東區	桥东区	Qiáo dōng Qū	Qiaodong District (various)/Qiaodong District of Shijiazhuang City 石家莊市|石家庄市[Shí jiā zhuāng Shì], Hebei
橋梁	桥梁	qiáo liáng	bridge (lit. and fig.)
橋段	桥段	qiáo duàn	(cinema, literature etc) scene/trope/plot device/(songwriting) bridge
橋牌	桥牌	qiáo pái	contract bridge (card game)
橋腦	桥脑	qiáo nǎo	(anatomy) pons
橋西	桥西	Qiáo xī	Qiaoxi District (various)/Qiaoxi District of Shijiazhuang City 石家莊市|石家庄市[Shí jiā zhuāng Shì], Hebei
橋西區	桥西区	Qiáo xī Qū	Qiaoxi District (various)/Qiaoxi District of Shijiazhuang City 石家莊市|石家庄市[Shí jiā zhuāng Shì], Hebei
橋鎮	桥镇	Qiáo zhèn	Bridgetown, capital of Barbados (Tw)
橋面	桥面	qiáo miàn	roadway/floor/deck/bridge floor
橋頭	桥头	Qiáo tóu	Qiaotou or Chiaotou township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
橋頭	桥头	qiáo tóu	either end of a bridge/a bridgehead
橋頭鄉	桥头乡	Qiáo tóu xiāng	Qiaotou or Chiaotou township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
浮橋	浮桥	fú qiáo	pontoon bridge
港珠澳大橋	港珠澳大桥	Gǎng Zhū Ào Dà qiáo	Hong Kong-Zhuhai-Macau Bridge
湘橋	湘桥	Xiāng qiáo	Xiangqiao district of Chaozhou city 潮州市[Cháo zhōu shì], Guangdong
