檯	台	tái	desk/table/counter
中轉櫃檯	中转柜台	zhōng zhuǎn guì tái	transfer desk/correspondence desk
乒乓球檯	乒乓球台	pīng pāng qiú tái	table-tennis table
塗漿檯	涂浆台	tú jiàng tái	pasting table (for wallpapering)
寫字檯	写字台	xiě zì tái	writing desk
工作檯	工作台	gōng zuò tái	workbench/work station
彈珠檯	弹珠台	dàn zhū tái	pinball
手工檯	手工台	shǒu gōng tái	workbench
手術檯	手术台	shǒu shù tái	operating table
梳妝檯	梳妆台	shū zhuāng tái	dressing table
上不了檯面	上不了台面	shàng bù liǎo tái miàn	better kept under the table (idiom)/not to be disclosed/too inferior to show in public
檯子	台子	tái zi	desk/(pool etc) table
檯安縣	台安县	Tái ān xiàn	Tai'an county in Anshan 鞍山[Ān shān], Liaoning
檯布	台布	tái bù	tablecloth
檯燈	台灯	tái dēng	desk lamp/table lamp
檯鐘	台钟	tái zhōng	desk clock
檯面	台面	tái miàn	tabletop/countertop/(fig.) public view/plain sight/(gambling) stake
櫃檯	柜台	guì tái	sales counter/front desk/bar/(of markets, medicines etc) OTC (over-the-counter)
班檯	班台	bān tái	office desk
球檯	球台	qiú tái	table (for games using balls)
登機手續櫃檯	登机手续柜台	dēng jī shǒu xù guì tái	check-in counter
聖餐檯	圣餐台	shèng cān tái	(Christian) altar
證券櫃檯買賣中心	证券柜台买卖中心	Zhèng quàn Guì tái Mǎi mài Zhōng xīn	GreTai Securities Market (GTSM)
