歡	欢	huān	joyous/happy/pleased
不歡而散	不欢而散	bù huān ér sàn	to part on bad terms/(of a meeting etc) to break up in discord
交歡	交欢	jiāo huān	to have cordial relations with each other/to have sexual intercourse
受歡迎	受欢迎	shòu huān yíng	popular/well-received
另覓新歡	另觅新欢	lìng mì xīn huān	to seek happiness elsewhere (euphemism for extramarital sex)/a bit on the side
合家歡	合家欢	hé jiā huān	group photo of whole family
喜喜歡歡	喜喜欢欢	xǐ xǐ huān huān	happily
喜歡	喜欢	xǐ huan	to like/to be fond of
失歡	失欢	shī huān	to lose favor/to become estranged
夾道歡迎	夹道欢迎	jiā dào huān yíng	to line the streets in welcome
尋歡	寻欢	xún huān	to seek pleasure (esp. sexual)
尋歡作樂	寻欢作乐	xún huān zuò lè	pleasure seeking (idiom); life of dissipation
強顏歡笑	强颜欢笑	qiǎng yán huān xiào	to pretend to look happy/to force oneself to smile
悲歡離合	悲欢离合	bēi huān lí hé	joys and sorrows/partings and reunions/the vicissitudes of life
承歡	承欢	chéng huān	to cater to sb to make them happy (esp. of one's parents)
把酒言歡	把酒言欢	bǎ jiǔ yán huān	to drink and chat merrily (idiom)
招人喜歡	招人喜欢	zhāo rén xǐ huan	charming/attractive/delightful
新歡	新欢	xīn huān	new flame/new lover
春節聯歡晚會	春节联欢晚会	Chūn jié Lián huān Wǎn huì	CCTV New Year's Gala, Chinese New Year special/abbr. to 春晚[Chūn Wǎn]
杯酒言歡	杯酒言欢	bēi jiǔ yán huān	a few drinks and a nice conversation (idiom)
不受歡迎	不受欢迎	bù shòu huān yíng	unwelcome
歡勢	欢势	huān shi	lively/full of vigor/vibrant/spirited
歡呼	欢呼	huān hū	to cheer for/to acclaim
歡呼雀躍	欢呼雀跃	huān hū què yuè	cheering excitedly (idiom)/jubilant
歡喜	欢喜	huān xǐ	happy/joyous/delighted/to like/to be fond of
歡喜冤家	欢喜冤家	huān xǐ yuān jia	quarrelsome but loving couple
歡天喜地	欢天喜地	huān tiān xǐ dì	delighted/with great joy/in high spirits
歡娛	欢娱	huān yú	to amuse/to divert/happy/joyful/pleasure/amusement
歡宴	欢宴	huān yàn	feast/celebration
歡容	欢容	huān róng	happy/joyous
歡實	欢实	huān shi	lively/full of vigor/vibrant/spirited
歡度	欢度	huān dù	to merrily spend (an occasion)/to celebrate
歡心	欢心	huān xīn	favor/liking/love/jubilation/joy
歡快	欢快	huān kuài	cheerful and lighthearted/lively
歡悅	欢悦	huān yuè	happiness/joy/to be happy/to be joyous
歡愉	欢愉	huān yú	happy/joyous/delighted
歡慶	欢庆	huān qìng	to celebrate
歡暢	欢畅	huān chàng	happy/cheerful/jubilant
歡樂	欢乐	huān lè	gaiety/gladness/glee/merriment/pleasure/happy/joyous/gay
歡樂時光	欢乐时光	huān lè shí guāng	happy time/happy hour (in bars etc)
歡欣	欢欣	huān xīn	elated
歡欣雀躍	欢欣雀跃	huān xīn què yuè	elated/overjoyed
歡欣鼓舞	欢欣鼓舞	huān xīn gǔ wǔ	elated and excited (idiom); overjoyed
歡歡喜喜	欢欢喜喜	huān huān xǐ xǐ	happily
歡笑	欢笑	huān xiào	to laugh happily/a belly-laugh
歡聚	欢聚	huān jù	to get together socially/to celebrate/party/celebration
歡聚一堂	欢聚一堂	huān jù yī táng	to gather happily under one roof
歡聲	欢声	huān shēng	cheers/cries of joy or approval
歡蹦亂跳	欢蹦乱跳	huān bèng luàn tiào	glowing with health and vivacity (idiom)
歡迎	欢迎	huān yíng	to welcome/welcome
歡迎光臨	欢迎光临	huān yíng guāng lín	welcome
歡送	欢送	huān sòng	to see off/to send off
歡送會	欢送会	huān sòng huì	farewell party
歡騰	欢腾	huān téng	jubilation/great celebration/CL:片[piàn]
求歡	求欢	qiú huān	to proposition a woman
狂歡	狂欢	kuáng huān	party/carousal/hilarity/merriment/whoopee/to carouse
狂歡節	狂欢节	kuáng huān jié	carnival
男歡女愛	男欢女爱	nán huān nǚ ài	passionate love (idiom)
皆大歡喜	皆大欢喜	Jiē dà huān xǐ	As You Like It, comedy by Shakespeare
皆大歡喜	皆大欢喜	jiē dà huān xǐ	to everyone's delight and satisfaction
盡歡	尽欢	jìn huān	to thoroughly enjoy oneself
盡歡而散	尽欢而散	jìn huān ér sàn	to disperse after a happy time (idiom)/everyone enjoys themselves to the full then party breaks up
結歡	结欢	jié huān	on friendly terms
繞膝承歡	绕膝承欢	rào xī chéng huān	to live with one's parents, thus bringing them happiness (idiom)
聯歡	联欢	lián huān	to have a get-together/celebration/party
聯歡會	联欢会	lián huān huì	social gathering/party
落落寡歡	落落寡欢	luò luò guǎ huān	melancholy/unhappy
討人喜歡	讨人喜欢	tǎo rén xǐ huan	to attract people's affection/charming/delightful
買笑追歡	买笑追欢	mǎi xiào zhuī huān	lit. to buy smiles to seek happiness/abandon oneself to the pleasures of the flesh (idiom)
賓主盡歡	宾主尽欢	bīn zhǔ jìn huān	both the guests and the hosts thoroughly enjoy themselves (idiom)
金合歡	金合欢	jīn hé huān	acacia
鬱鬱寡歡	郁郁寡欢	yù yù guǎ huān	depressed/cheerless
魚水之歡	鱼水之欢	yú shuǐ zhī huān	the pleasure of close intimacy in a couple (idiom)/sexual intercourse
