毅	毅	yì	firm and resolute/staunch
剛毅木訥	刚毅木讷	gāng yì mù nè	resolute and taciturn (idiom)
劉毅	刘毅	Liú Yì	Liu Yi (-285), famous incorruptible official of Western Jin dynasty the Western Jin dynasty 西晉|西晋[Xī Jìn] (265-316)/Liu Yi (-412), general of Eastern Jin dynasty 東晉|东晋[Dōng Jìn] (317-420)
堅毅	坚毅	jiān yì	firm and persistent/unswerving determination
方毅	方毅	Fāng Yì	Fang Yi (1916-1997), senior party apparatchik
有毅力	有毅力	yǒu yì lì	persevering/unwavering
柳毅傳	柳毅传	Liǔ Yì zhuàn	story of Liu Yi, Tang fantasy fiction by Li Chaowei 李朝威, popular with dramatist of subsequent dynasties
榮毅仁	荣毅仁	Róng Yì rén	Rong Yiren (1916-2005), PRC Vice President from 1993-1998, played an important role in opening Chinese economy to Western investors
剛毅	刚毅	gāng yì	resolute/steadfast/stalwart
毅力	毅力	yì lì	perseverance/willpower
毅然	毅然	yì rán	firmly/resolutely/without hesitation
毅然決然	毅然决然	yì rán jué rán	without hesitation/resolutely/firmly
范志毅	范志毅	Fàn Zhì yì	Fan Zhiyi (1969-), soccer player
陳毅	陈毅	Chén Yì	Chen Yi (1901-1972), communist general and politician, Marshal of PLA from 1955, Mayor of Shanghai in 1950s, PRC foreign minister 1958-1972
