氫	氢	qīng	hydrogen (chemistry)
加氫油	加氢油	jiā qīng yóu	hydrogenated oil
四氫大麻酚	四氢大麻酚	sì qīng dà má fēn	Tetrahydrocannabinol, THC
氟化氫	氟化氢	fú huà qīng	hydrofluoric acid
丙酮酸脫氫酶	丙酮酸脱氢酶	bǐng tóng suān tuō qīng méi	pyruvate dehydrogenase
氫化	氢化	qīng huà	hydrogenation
氫化氰	氢化氰	qīng huà qíng	hydrocyanic acid/hydrogen cyanide
氫原子	氢原子	qīng yuán zǐ	hydrogen atom
氫原子核	氢原子核	qīng yuán zǐ hé	hydrogen nucleus
氫彈	氢弹	qīng dàn	H-bomb/hydrogen bomb
氫氟烴	氢氟烃	qīng fú tīng	hydrofluorocarbon
氫氟酸	氢氟酸	qīng fú suān	hydrofluoric acid HF
氫氣	氢气	qīng qì	hydrogen (gas)
氫氧	氢氧	qīng yǎng	hydroxide (e.g. caustic soda NaOH)
氫氧化	氢氧化	qīng yǎng huà	hydroxide (e.g. caustic soda NaOH)
氫氧化物	氢氧化物	qīng yǎng huà wù	hydroxide
氫氧化鈉	氢氧化钠	qīng yǎng huà nà	caustic soda/sodium hydroxide NaOH
氫氧化鈣	氢氧化钙	qīng yǎng huà gài	calcium hydroxide Ca(OH)2/slaked lime
氫氧化鉀	氢氧化钾	qīng yǎng huà jiǎ	potassium hydroxide
氫氧化鋁	氢氧化铝	qīng yǎng huà lǚ	aluminum hydroxide
氫氧化鎂	氢氧化镁	qīng yǎng huà měi	magnesium hydroxide Mg(OH)2
氫氧根	氢氧根	qīng yǎng gēn	hydroxide radical (-OH)
氫氧根離子	氢氧根离子	qīng yǎng gēn lí zǐ	hydroxide ion OH-
氫氧離子	氢氧离子	qīng yǎng lí zǐ	hydroxide ion OH-
氫氯酸	氢氯酸	qīng lǜ suān	hydrochloric acid HCl/also written 鹽酸|盐酸
氫淨合成油	氢净合成油	qīng jìng hé chéng yóu	hydrogenated oil
氫溴酸	氢溴酸	qīng xiù suān	hydrobromic acid HBr
氫酶	氢酶	qīng méi	hydrogenase (enzyme)
氫鍵	氢键	qīng jiàn	hydrogen bond
氫鹵酸	氢卤酸	qīng lǔ suān	hydrohalic acid (e.g. hydrofluoric acid HF 氫氟酸|氢氟酸[qīng fú suān], hydrochloric acid HCl 盐酸 etc)
氯化氫	氯化氢	lǜ huà qīng	hydrogen chloride HCl
砷化氫	砷化氢	shēn huà qīng	arsine
硫化氫	硫化氢	liú huà qīng	hydrogen sulfide H2S/sulfureted hydrogen
碳化氫	碳化氢	tàn huà qīng	hydrocarbon/same as 烴|烃[tīng]
碳氫化合物	碳氢化合物	tàn qīng huà hé wù	hydrocarbon
碳酸氫鈉	碳酸氢钠	tàn suān qīng nà	sodium bicarbonate
脫氫	脱氢	tuō qīng	dehydrogenation
脫氫酶	脱氢酶	tuō qīng méi	dehydrogenase (enzyme)
超重氫	超重氢	chāo zhòng qīng	tritium/3H/radioactive isotope of hydrogen having 2 neutrons in its nucleus, so atomic weight 3
過氧化氫	过氧化氢	guò yǎng huà qīng	hydrogen peroxide H2O2
過氧化氫酶	过氧化氢酶	guò yǎng huà qīng méi	catalase (enzyme)/hydrogen peroxidase
重氫	重氢	zhòng qīng	heavy hydrogen (isotope)/deuterium
雙氫睾酮	双氢睾酮	shuāng qīng gāo tóng	dihydrotestosterone
