沁	沁	qìn	to seep/to percolate
喀喇沁左翼蒙古族自治縣	喀喇沁左翼蒙古族自治县	Kā lǎ qìn Zuǒ yì Měng gǔ zú Zì zhì xiàn	Harqin Left Mongol autonomous county in Chaoyang 朝陽|朝阳[Cháo yáng], Liaoning
喀喇沁旗	喀喇沁旗	Kā lǎ qìn qí	Harqin banner or Kharchin khoshuu in Chifeng 赤峰[Chì fēng], Inner Mongolia
東烏珠穆沁旗	东乌珠穆沁旗	Dōng wū zhū mù qìn qí	East Ujimqin banner or Züün Üzemchin khoshuu in Xilin Gol league 錫林郭勒盟|锡林郭勒盟[Xī lín guō lè méng], Inner Mongolia
喀喇沁	喀喇沁	Kā lǎ qìn	Harqin (Mongol: guard)/Harqin banner or Kharchin khoshuu in Chifeng 赤峰[Chì fēng], Inner Mongolia/also Harqin Left Mongol autonomous county in Chaoyang 朝陽|朝阳[Cháo yáng], Liaoning
沁人心脾	沁人心脾	qìn rén xīn pí	to penetrate deeply into the heart (idiom)/to gladden the heart/to refresh the mind
沁入	沁入	qìn rù	(usually of sth intangible) to seep into/to permeate
沁水	沁水	Qìn shuǐ	Qinshui county in Jincheng 晉城|晋城[Jìn chéng], Shanxi
沁水縣	沁水县	Qìn shuǐ xiàn	Qinshui county in Jincheng 晉城|晋城[Jìn chéng], Shanxi
沁源	沁源	Qìn yuán	Qingyuan county in Changzhi 長治|长治[Cháng zhì], Shanxi
沁源縣	沁源县	Qìn yuán xiàn	Qingyuan county in Changzhi 長治|长治[Cháng zhì], Shanxi
沁縣	沁县	Qìn xiàn	Qin county in Changzhi 長治|长治[Cháng zhì], Shanxi
沁陽	沁阳	Qìn yáng	Qinyang county level city in Jiaozuo 焦作[Jiāo zuò], Henan
沁陽市	沁阳市	Qìn yáng shì	Qinyang county level city in Jiaozuo 焦作[Jiāo zuò], Henan
瑪沁	玛沁	Mǎ qìn	Maqên or Maqin county (Tibetan: rma chen rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
瑪沁縣	玛沁县	Mǎ qìn xiàn	Maqên or Maqin county (Tibetan: rma chen rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
科爾沁	科尔沁	Kē ěr qìn	Horqin or Xorchin, famous Mongolian archer/Horqin district or Xorchin raion of Tongliao city 通遼市|通辽市[Tōng liáo shì], Inner Mongolia
科爾沁區	科尔沁区	Kē ěr qìn qū	Horqin district or Xorchin raion of Tongliao city 通遼市|通辽市[Tōng liáo shì], Inner Mongolia
科爾沁右翼中旗	科尔沁右翼中旗	Kē ěr qìn yòu yì zhōng qí	Horqin right center banner, Mongolian Khorchin Baruun Garyn Dund khoshuu, in Hinggan league 興安盟|兴安盟[Xīng ān méng], east Inner Mongolia
科爾沁右翼前旗	科尔沁右翼前旗	Kē ěr qìn yòu yì qián qí	Horqin right front banner, Mongolian Khorchin Baruun Garyn Ömnöd khoshuu, in Hinggan league 興安盟|兴安盟[Xīng ān méng], east Inner Mongolia
科爾沁左翼中	科尔沁左翼中	Kē ěr qìn zuǒ yì zhōng	Horqin Left Middle banner or Khorchin Züün Garyn Dund khoshuu in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
科爾沁左翼中旗	科尔沁左翼中旗	Kē ěr qìn zuǒ yì zhōng qí	Horqin Left Middle banner or Khorchin Züün Garyn Dund khoshuu in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
科爾沁左翼後	科尔沁左翼后	Kē ěr qìn zuǒ yì hòu	Horqin Left Rear banner or Khorchin Züün Garyn Xoit khoshuu in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
科爾沁左翼後旗	科尔沁左翼后旗	Kē ěr qìn zuǒ yì hòu qí	Horqin Left Rear banner or Khorchin Züün Garyn Xoit khoshuu in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
西烏珠穆沁旗	西乌珠穆沁旗	Xī wū zhū mù qìn qí	West Ujimqin banner or Baruun Üzemchin khoshuu in Xilin Gol league 錫林郭勒盟|锡林郭勒盟[Xī lín guō lè méng], Inner Mongolia
阿魯科爾沁	阿鲁科尔沁	Ā lǔ kē ěr qìn	Ar Horqin banner or Aru Khorchin khoshuu in Chifeng 赤峰[Chì fēng], Inner Mongolia
阿魯科爾沁旗	阿鲁科尔沁旗	Ā lǔ kē ěr qìn qí	Ar Horqin banner or Aru Khorchin khoshuu in Chifeng 赤峰[Chì fēng], Inner Mongolia
馬克沁	马克沁	Mǎ kè qìn	Sir Hiram Maxim (1840-1916), American British inventor of the Maxim machine gun
馬克沁機槍	马克沁机枪	Mǎ kè qìn jī qiāng	Maxim machine gun
