滬	沪	Hù	short name for Shanghai
京滬高鐵	京沪高铁	Jīng Hù gāo tiě	Beijing-Shanghai High-Speed Railway, completed in 2010/abbr. for 京滬高速鐵路|京沪高速铁路
朱廣滬	朱广沪	Zhū Guǎng hù	Zhu Guanghu (1949-), PRC soccer coach
京滬	京沪	Jīng Hù	Beijing and Shanghai
滬上	沪上	Hù shàng	alternative name for Shanghai 上海[Shàng hǎi]/at (or in) Shanghai
滬劇	沪剧	Hù jù	Shanghai opera
滬寧	沪宁	Hù Níng	Shanghai and Nanjing
滬寧線	沪宁线	Hù Níng xiàn	Shanghai-Nanjing line
滬寧鐵路	沪宁铁路	Hù Níng Tiě lù	Shanghai-Nanjing Railway, a.k.a. Huning Railway
滬江	沪江	Hù jiāng	alternative name for Shanghai 上海[Shàng hǎi]
滬深港	沪深港	Hù Shēn Gǎng	abbr. for Shanghai 上海[Shàng hǎi], Shenzhen 深圳[Shēn zhèn] and Hong Kong 香港[Xiāng gǎng]
滬綜指	沪综指	Hù zōng zhǐ	Shanghai composite index (stock market index)
滬語	沪语	Hù yǔ	Shanghainese/Shanghai dialect
