洩	泄	xiè	variant of 泄[xiè]
排洩系統	排泄系统	pái xiè xì tǒng	drainage system/excretory system
早洩	早泄	zǎo xiè	premature ejaculation
水洩不通	水泄不通	shuǐ xiè bù tōng	lit. not one drop can trickle through (idiom); fig. impenetrable (crowd, traffic)
宣洩	宣泄	xuān xiè	to drain (by leading off water)/to unburden oneself/to divulge/to leak a secret
洩勁	泄劲	xiè jìn	to lose heart/to feel discouraged
洩密	泄密	xiè mì	to leak secrets
洩底	泄底	xiè dǐ	to divulge the inside story
洩怒	泄怒	xiè nù	to give vent to anger
洩恨	泄恨	xiè hèn	to give vent to anger
洩慾	泄欲	xiè yù	to sate one's lust
洩慾工具	泄欲工具	xiè yù gōng jù	sexual object
洩憤	泄愤	xiè fèn	to give vent to anger
洩殖腔	泄殖腔	xiè zhí qiāng	cloaca/cloacal cavity (of bird, reptile etc)
洩氣	泄气	xiè qì	to leak (gas)/to be discouraged/to despair/(disparaging) pathetic/to vent one's anger/(of a tire) to be flat
洩洪	泄洪	xiè hóng	to release flood water/flood discharge
洩洪閘	泄洪闸	xiè hóng zhá	sluice-gate/flood discharge valve
洩流	泄流	xiè liú	drainage
洩瀉	泄泻	xiè xiè	loose bowels/diarrhea/to have the runs
洩痢	泄痢	xiè lì	to have diarrhea
洩私憤	泄私愤	xiè sī fèn	to vent personal spite/to act out of malice (esp. of crime)
漏洩	漏泄	lòu xiè	a leak (e.g. of chemicals)
漏洩天機	漏泄天机	lòu xiè tiān jī	to divulge the will of heaven (idiom); to leak a secret/to let the cat out of the bag
發洩	发泄	fā xiè	to give vent to (one's feelings)
