洱	洱	ěr	see 洱海[Ěr hǎi]
寧洱哈尼族彞族自治縣	宁洱哈尼族彝族自治县	Níng ěr Hā ní zú Yí zú Zì zhì xiàn	Ning'er Hani and Yi Autonomous County in Yunnan, capital Pu'er city 普洱市[Pǔ ěr shì]/formerly Pu'er Hani and Yi autonomous county
寧洱縣	宁洱县	Níng ěr Xiàn	Ning'er County in Yunnan/abbr. for Ning'er Hani and Yi Autonomous County 寧洱哈尼族彞族自治縣|宁洱哈尼族彝族自治县[Níng ěr Hā ní zú Yí zú Zì zhì xiàn]
普洱	普洱	Pǔ ěr	Pu'er prefecture level city in Yunnan/county capital of Ning'er Hani and Yi autonomous county 寧洱哈尼族彞族自治縣|宁洱哈尼族彝族自治县
普洱哈尼族彞族自治縣	普洱哈尼族彝族自治县	Pǔ ěr Hā ní zú Yí zú Zì zhì xiàn	former Pu'er Hani and Yi autonomous county in Yunnan, renamed in 2007 Ning'er Hani and Yi autonomous county 寧洱哈尼族彞族自治縣|宁洱哈尼族彝族自治县, capital Pu'er city 普洱市
普洱市	普洱市	Pǔ ěr shì	Pu'er prefecture level city in Yunnan/county capital of Ning'er Hani and Yi autonomous county 寧洱哈尼族彞族自治縣|宁洱哈尼族彝族自治县
普洱茶	普洱茶	Pǔ ěr chá	Pu'er tea from the Pu'er region of Yunnan
寧洱	宁洱	Níng ěr	Ning'er County in Yunnan/abbr. for Ning'er Hani and Yi Autonomous County 寧洱哈尼族彞族自治縣|宁洱哈尼族彝族自治县[Níng ěr Hā ní zú Yí zú Zì zhì xiàn]
洱海	洱海	Ěr hǎi	Erhai Lake
洱源	洱源	Ěr yuán	Eryuan county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
洱源縣	洱源县	Ěr yuán xiàn	Eryuan county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
