測	测	cè	to survey/to measure/to conjecture
不測	不测	bù cè	unexpected/measureless/unexpected circumstance/contingency/mishap
中國無線電頻譜管理和監測	中国无线电频谱管理和监测	Zhōng guó wú xiàn diàn pín pǔ guǎn lǐ hé jiān cè	China state radio regulation committee SRRC
人心難測	人心难测	rén xīn nán cè	hard to fathom a person's mind (idiom)
以備不測	以备不测	yǐ bèi bù cè	to be prepared for accidents
估測	估测	gū cè	estimate
伽利略探測器	伽利略探测器	Jiā lì lüè tàn cè qì	Galileo probe
偵測	侦测	zhēn cè	to detect/to sense
偵測器	侦测器	zhēn cè qì	detector
光檢測器	光检测器	guāng jiǎn cè qì	optical detector
全球位置測定系統	全球位置测定系统	quán qiú wèi zhì cè dìng xì tǒng	GPS (Global Positioning System)
勘測	勘测	kān cè	to investigate/to survey
半導體探測器	半导体探测器	bàn dǎo tǐ tàn cè qì	semiconductor detector
叵測	叵测	pǒ cè	unfathomable/unpredictable/treacherous
基測	基测	Jī cè	Basic Competence Test for Junior High School Students (Tw), abbr. for 國民中學學生基本學力測驗|国民中学学生基本学力测验
大地測量學	大地测量学	dà dì cè liáng xué	geodesy
大學學科能力測驗	大学学科能力测验	Dà xué Xué kē Néng lì Cè yàn	General Scholastic Ability Test (college entrance exam in Taiwan)
天有不測風雲，人有旦夕禍福	天有不测风云，人有旦夕祸福	tiān yǒu bù cè fēng yún , rén yǒu dàn xī huò fú	fortune as unpredictable as the weather, every day may bring fortune or calamity (idiom); sth unexpected may happen at any moment
學測	学测	Xué cè	abbr. for 大學學科能力測驗|大学学科能力测验[Dà xué Xué kē Néng lì Cè yàn]
完形測驗	完形测验	wán xíng cè yàn	Gestalt test
實測	实测	shí cè	to take measurements/measured (speed etc)/observed (as opposed to "estimated")/observational (astronomy)
居心叵測	居心叵测	jū xīn pǒ cè	harboring unfathomable motives (idiom)
屢遭不測	屡遭不测	lǚ zāo bù cè	beset by a series of mishaps (idiom)
巡測儀	巡测仪	xún cè yí	survey meter
心懷叵測	心怀叵测	xīn huái pǒ cè	see 居心叵測|居心叵测[jū xīn pǒ cè]
感測器	感测器	gǎn cè qì	sensor (Tw)
探測	探测	tàn cè	to probe/to take readings/to explore/exploration
探測器	探测器	tàn cè qì	detector/probe/craft
探測字	探测字	tàn cè zì	probe (character)
推測	推测	tuī cè	speculation/to conjecture/to surmise/to speculate
揣測	揣测	chuǎi cè	to guess/to conjecture
放射免疫測定	放射免疫测定	fàng shè miǎn yì cè dìng	radioimmunoassay
時間測定學	时间测定学	shí jiān cè dìng xué	chronometry
普通話水平測試	普通话水平测试	Pǔ tōng huà Shuǐ píng Cè shì	Putonghua Proficiency Test, an official test of spoken fluency in Standard Chinese for native speakers of Chinese languages, developed in the PRC in 1994
智力測驗	智力测验	zhì lì cè yàn	intelligence trial/IQ test
概測法	概测法	gài cè fǎ	rough-and-ready method/rule of thumb
檢測	检测	jiǎn cè	to detect/to test/detection/sensing
檢測儀	检测仪	jiǎn cè yí	sensor/detector
檢測器	检测器	jiǎn cè qì	detector
步測	步测	bù cè	pacing
民意測驗	民意测验	mín yì cè yàn	opinion poll
氣象觀測站	气象观测站	qì xiàng guān cè zhàn	weather station
深不可測	深不可测	shēn bù kě cè	deep and unmeasurable (idiom); unfathomable depths/incomprehensible/enigmatic and impossible to predict
三角測量法	三角测量法	sān jiǎo cè liáng fǎ	triangulation (surveying)
測地曲率	测地曲率	cè dì qū lǜ	geodesic curvature
測地線	测地线	cè dì xiàn	geodesic/a geodesic (curve)
測地線曲率	测地线曲率	cè dì xiàn qū lǜ	geodesic curvature
測報	测报	cè bào	to estimate and report/to assess
測天	测天	cè tiān	to make astronomical observation
測孕	测孕	cè yùn	pregnancy testing
測定	测定	cè dìng	to survey and evaluate
測序	测序	cè xù	(DNA etc) sequencing
測度	测度	cè dù	measure (math.)
測度	测度	cè duó	to estimate/to conjecture
測徑器	测径器	cè jìng qì	calipers
測心術	测心术	cè xīn shù	mind reading
測控	测控	cè kòng	measurement and control
測深	测深	cè shēn	to sound (sea depth)
測溫	测温	cè wēn	to measure temperature
測知	测知	cè zhī	to detect/to sense
測算	测算	cè suàn	to take measurements and calculate
測繪	测绘	cè huì	to survey and draw/to map
測評	测评	cè píng	to test and evaluate
測試	测试	cè shì	to test (machinery etc)/to test (students)/test/quiz/exam/beta (software)
測試和材料協會	测试和材料协会	Cè shì hé Cái liào Xié huì	American Society for Testing and Materials (ASTM)
測試器	测试器	cè shì qì	testing apparatus/monitoring device/checker/meter
測謊儀	测谎仪	cè huǎng yí	lie detector/polygraph
測謊器	测谎器	cè huǎng qì	lie detector/polygraph
測距儀	测距仪	cè jù yí	distance measuring equipment
測量	测量	cè liáng	survey/to measure/to gauge/to determine
測量工具	测量工具	cè liáng gōng jù	gauge/measuring tool
測量船	测量船	cè liáng chuán	survey vessel
