淚	泪	lèi	tears
一把眼淚一把鼻涕	一把眼泪一把鼻涕	yī bǎ yǎn lèi yī bǎ bí tì	with one's face covered in tears (idiom)
一掬同情之淚	一掬同情之泪	yī jū tóng qíng zhī lèi	to shed tears of sympathy (idiom)
不見棺材不落淚	不见棺材不落泪	bù jiàn guān cai bù luò lèi	lit. not to shed a tear until one sees the coffin (idiom)/fig. refuse to be convinced until one is faced with grim reality
以淚洗面	以泪洗面	yǐ lèi xǐ miàn	to bathe one's face in tears (idiom)
催淚	催泪	cuī lèi	to move to tears (of a story)/tear-provoking (gas)/lacrimogen
催淚劑	催泪剂	cuī lèi jì	lachrymator
催淚大片	催泪大片	cuī lèi dà piàn	tear-jerker (movie)
催淚彈	催泪弹	cuī lèi dàn	tear bomb/tear-gas grenade
催淚瓦斯	催泪瓦斯	cuī lèi wǎ sī	tear gas
含淚	含泪	hán lèi	tearful/tearfully
哭天抹淚	哭天抹泪	kū tiān mǒ lèi	to wail and whine/piteous weeping
垂淚	垂泪	chuí lèi	to shed tears
掉淚	掉泪	diào lèi	to shed tears
揮淚	挥泪	huī lèi	to shed tears/to be all in tears
流淚	流泪	liú lèi	to shed tears
涕淚交流	涕泪交流	tì lèi jiāo liú	tears and mucus flowing profusely (idiom); weeping tragically
淌淚	淌泪	tǎng lèi	to shed a tear
淌眼淚	淌眼泪	tǎng yǎn lèi	to shed tears
一字一淚	一字一泪	yī zì yī lèi	each word is a teardrop (idiom)
淚光	泪光	lèi guāng	glistening teardrops
淚奔	泪奔	lèi bēn	(slang) to get emotional
淚如雨下	泪如雨下	lèi rú yǔ xià	tears falling like rain (idiom)
淚水	泪水	lèi shuǐ	teardrop/tears
淚水漣漣	泪水涟涟	lèi shuǐ lián lián	in floods of tears (idiom)
淚汪汪	泪汪汪	lèi wāng wāng	tearful/brimming with tears
淚流滿面	泪流满面	lèi liú mǎn miàn	cheeks streaming with tears (idiom)
淚液	泪液	lèi yè	tears/teardrops
淚珠	泪珠	lèi zhū	a teardrop
淚痕	泪痕	lèi hén	tear stains
淚眼	泪眼	lèi yǎn	tearful eyes
淚眼婆娑	泪眼婆娑	lèi yǎn pó suō	tearful (idiom)
淚腺	泪腺	lèi xiàn	Lacrimal gland
淚花	泪花	lèi huā	tears in the eyes
潸然淚下	潸然泪下	shān rán lèi xià	to shed silent tears (idiom)
熱淚	热泪	rè lèi	hot tears
熱淚盈眶	热泪盈眶	rè lèi yíng kuàng	eyes brimming with tears of excitement (idiom)/extremely moved
燭淚	烛泪	zhú lèi	drop of melted wax that runs down the side of a candle
男兒有淚不輕彈	男儿有泪不轻弹	nán ér yǒu lèi bù qīng tán	real men do not easily cry (idiom)
眼淚	眼泪	yǎn lèi	tears/crying/CL:滴[dī]
眼淚橫流	眼泪横流	yǎn lèi hèng liú	to be overflowing with tears (idiom)
聲淚俱下	声泪俱下	shēng lèi jù xià	to shed tears while recounting sth/speaking in a tearful voice
落淚	落泪	luò lèi	to shed tears/to weep
血淚	血泪	xuè lèi	tears of blood (symbol of extreme suffering)/blood and tears
血淚史	血泪史	xuè lèi shǐ	(fig.) history full of suffering/heart-rending story/CL:部[bù]
鱷魚眼淚	鳄鱼眼泪	è yú yǎn lèi	crocodile tears/fig. hypocritical words of sympathy
