淵	渊	yuān	deep pool/deep/profound
九淵	九渊	jiǔ yuān	abyss/deep chasm
劉淵	刘渊	Liú Yuān	Liu Yuan, warlord at the end of the Western Jin dynasty 西晋, founder of Cheng Han of the Sixteen Kingdoms 成漢|成汉 (304-347)
千鳥淵國家公墓	千鸟渊国家公墓	Qiān niǎo yuān guó jiā gōng mù	Chidori ga fuchi, national war cemetery in Tokyo/also called Tomb of the Unknown Soldier
塞淵	塞渊	sāi yuān	honest and far-seeing
天淵	天渊	tiān yuān	distance between two poles/poles apart
天淵之別	天渊之别	tiān yuān zhī bié	a complete contrast/totally different
小淵	小渊	Xiǎo yuān	Obuchi (Japanese surname)
小淵惠三	小渊惠三	Xiǎo yuān Huì sān	Obuchi Keizo (1937-2000), Japanese politician, prime minister 1998-2000
旋淵	旋渊	xuán yuān	abyss
李淵	李渊	Lǐ Yuān	Li Yuan, personal name of first Tang emperor Gaozu 唐高祖[Táng Gāo zǔ] (566-635), reigned 618-626
洪淵	洪渊	hóng yuān	vast and profound
深淵	深渊	shēn yuān	abyss
不啻天淵	不啻天渊	bù chì tiān yuān	no less than from heaven to the abyss (idiom); differing widely/worlds apart/the gap couldn't be bigger
淵博	渊博	yuān bó	erudite/profound/learned/extremely knowledgeable
淵壑	渊壑	yuān hè	deep valley
淵富	渊富	yuān fù	rich and variegated
淵廣	渊广	yuān guǎng	broad and extensive (of knowledge etc)
淵慮	渊虑	yuān lǜ	profound thoughts or ideas
淵沖	渊冲	yuān chōng	erudite but open-minded
淵泉	渊泉	yuān quán	deep springs
淵泓	渊泓	yuān hóng	vast and profound
淵海	渊海	yuān hǎi	(lit.) abyss and ocean/(fig.) vast and profound
淵深	渊深	yuān shēn	profound (knowledge)/erudite
淵淵	渊渊	yuān yuān	deep and still/sound of a drum
淵源	渊源	yuān yuán	origin/source/relationship
淵玄	渊玄	yuān xuán	profundity/depth
淵藪	渊薮	yuān sǒu	(lit.) gathering place of fish or other creatures/(fig.) haunt/lair/nest/den/hotbed
淵詣	渊诣	yuān yì	deep and profound meaning
淵謀	渊谋	yuān móu	profound or erudite plans
淵識	渊识	yuān shí	erudite and sophisticated
淵谷	渊谷	yuān gǔ	deep valley
淵遠	渊远	yuān yuǎn	deep/profound
淵默	渊默	yuān mò	profound silence
澄淵	澄渊	chéng yuān	clear, deep water
臨淵羨魚	临渊羡鱼	lín yuān xiàn yú	see 臨淵羨魚，不如退而結網|临渊羡鱼，不如退而结网[lín yuān xiàn yú , bù rú tuì ér jié wǎng]
臨淵羨魚，不如退而結網	临渊羡鱼，不如退而结网	lín yuān xiàn yú , bù rú tuì ér jié wǎng	better to go home and weave a net than to stand by the pond longing for fish (idiom)/one should take practical steps to achieve one's aim
陶淵明	陶渊明	Táo Yuān míng	Tao Yuanming (c. 365-427), Jin dynasty writer and poet
顏淵	颜渊	Yán Yuān	Yan Yuan (521-481 BC), disciple of Confucius 孔夫子[Kǒng fū zǐ], also known as 顏回|颜回[Yán Huí]
鼻淵	鼻渊	bí yuān	nasosinusitis
