滲	渗	shèn	to seep/to ooze/to horrify
反滲透法	反渗透法	Fǎn shèn tòu fǎ	(Tw) Anti-infiltration Act (2020), which regulates the influence of entities deemed foreign hostile forces
可變滲透性模型	可变渗透性模型	kě biàn shèn tòu xìng mó xíng	Varying Permeability Model (VPM), (used to calculate decompression schedules in diving)
反滲透	反渗透	fǎn shèn tòu	anti-infiltration (measures taken against subversive external forces)/(chemistry) reverse osmosis
滲入	渗入	shèn rù	to permeate
滲出	渗出	shèn chū	to seep out/to exude
滲出物	渗出物	shèn chū wù	exudate
滲坑	渗坑	shèn kēng	sewage pit
滲析	渗析	shèn xī	dialysis
滲水	渗水	shèn shuǐ	water seepage
滲流	渗流	shèn liú	to seep/leakage
滲涼	渗凉	shèn liáng	to feel cold (as symptom)/permeated by cold
滲溝	渗沟	shèn gōu	sewer
滲漏	渗漏	shèn lòu	seepage/leakage
滲濾	渗滤	shèn lǜ	percolation
滲濾壺	渗滤壶	shèn lǜ hú	coffee percolator
滲碳	渗碳	shèn tàn	carburization
滲色	渗色	shèn sè	bleeding
滲透	渗透	shèn tòu	(lit. and fig.) to permeate/to seep into/(of a product, idea etc) to penetrate (in a population)/(of hostile forces) to infiltrate/(chemistry) osmosis
滲透壓	渗透压	shèn tòu yā	osmotic pressure
逆滲透	逆渗透	nì shèn tòu	reverse osmosis
