濫	滥	làn	overflowing/excessive/indiscriminate
俗濫	俗滥	sú làn	clichéd/tacky
寧缺勿濫	宁缺勿滥	nìng quē wù làn	same as 寧缺毋濫|宁缺毋滥[nìng quē wú làn]
寧缺毋濫	宁缺毋滥	nìng quē wú làn	better to have nothing (than substandard choice) (idiom); would prefer to go without than accept shoddy option
泛濫	泛滥	fàn làn	to be in flood/to overflow (the banks)/to inundate/to spread unchecked
泛濫成災	泛滥成灾	fàn làn chéng zāi	lit. to flood (idiom)/fig. rampant/in plague proportions
浮濫	浮滥	fú làn	excessive/exorbitant/excessively
下三濫	下三滥	xià sān làn	riffraff/scum/lowlife/despicable/inferior
濫交	滥交	làn jiāo	to fall into bad company/to make acquaintances indiscriminately
濫伐	滥伐	làn fá	to denude/illegal logging/forest clearance
濫刑	滥刑	làn xíng	indiscriminate punishment
濫套子	滥套子	làn tào zi	platitude/pointless talk
濫好人	滥好人	làn hǎo rén	sb who tries to be on good terms with everyone
濫情	滥情	làn qíng	fickle in love/sentimentality
濫權	滥权	làn quán	abuse of authority
濫殺	滥杀	làn shā	to kill indiscriminately/to massacre
濫殺無辜	滥杀无辜	làn shā wú gū	willfully slaughter the innocent (idiom)
濫漫	滥漫	làn màn	arbitrary/indiscriminate
濫用	滥用	làn yòng	to misuse/to abuse
濫用權力	滥用权力	làn yòng quán lì	abuse of power
濫用職權	滥用职权	làn yòng zhí quán	abuse of power
濫砍濫伐	滥砍滥伐	làn kǎn làn fá	wanton destruction of forested lands
濫竽	滥竽	làn yú	indiscriminately included in company (without any qualification)/see 濫竽充數|滥竽充数[làn yú chōng shù]
濫竽充數	滥竽充数	làn yú chōng shù	lit. to play the yu 竽 mouth organ to make up numbers (idiom); fig. to make up the numbers with inferior products/to masquerade as having an ability/token member of a group
濫罵	滥骂	làn mà	scurrilous/to scold indiscriminately
濫觴	滥觞	làn shāng	lit. floating wine goblets on a stream/the origin (of some phenomenon)
濫調	滥调	làn diào	hackneyed talk/platitude
狂轟濫炸	狂轰滥炸	kuáng hōng làn zhà	to bomb indiscriminately
粗製濫造	粗制滥造	cū zhì làn zào	to churn out large quantities without regard for quality (idiom); rough and slipshod work
陳詞濫調	陈词滥调	chén cí làn diào	cliché/commonplace/truism/stereotype
