濱	滨	bīn	shore/beach/coast/bank/to border on
哈爾濱	哈尔滨	Hā ěr bīn	Harbin, subprovincial city and capital of Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
哈爾濱工業大學	哈尔滨工业大学	Hā ěr bīn Gōng yè Dà xué	Harbin Institute of Technology
哈爾濱市	哈尔滨市	Hā ěr bīn shì	Harbin, subprovincial city and capital of Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
大濱鷸	大滨鹬	dà bīn yù	(bird species of China) great knot (Calidris tenuirostris)
姚濱	姚滨	Yáo Bīn	Yao Bin (1957-), PRC champion ice skater during early 1980s and more recently national skating coach
姬濱鷸	姬滨鹬	jī bīn yù	(bird species of China) least sandpiper (Calidris minutilla)
小濱鷸	小滨鹬	xiǎo bīn yù	(bird species of China) little stint (Calidris minuta)
尖尾濱鷸	尖尾滨鹬	jiān wěi bīn yù	(bird species of China) sharp-tailed sandpiper (Calidris acuminata)
岩濱鷸	岩滨鹬	yán bīn yù	(bird species of China) rock sandpiper (Calidris ptilocnemis)
彎嘴濱鷸	弯嘴滨鹬	wān zuǐ bīn yù	(bird species of China) curlew sandpiper (Calidris ferruginea)
斑胸濱鷸	斑胸滨鹬	bān xiōng bīn yù	(bird species of China) pectoral sandpiper (Calidris melanotos)
橫濱	横滨	Héng bīn	Yokohama, Japan
橫濱市	横滨市	Héng bīn shì	Yokohama, major port city in Kanagawa prefecture 神奈川縣|神奈川县[Shén nài chuān xiàn], Japan
河濱	河滨	hé bīn	brook/rivulet
海濱	海滨	hǎi bīn	shore/seaside
淇濱	淇滨	Qí bīn	Qibin district of Hebi city 鶴壁市|鹤壁市[Hè bì shì], Henan
淇濱區	淇滨区	Qí bīn qū	Qibin district of Hebi city 鶴壁市|鹤壁市[Hè bì shì], Henan
淮濱	淮滨	Huái bīn	Huaibin county in Xinyang 信陽|信阳, Henan
淮濱縣	淮滨县	Huái bīn xiàn	Huaibin county in Xinyang 信陽|信阳, Henan
渭濱	渭滨	Wèi bīn	Weibin District of Baoji City 寶雞市|宝鸡市[Bǎo jī Shì], Shaanxi
渭濱區	渭滨区	Wèi bīn Qū	Weibin District of Baoji City 寶雞市|宝鸡市[Bǎo jī Shì], Shaanxi
湖濱	湖滨	Hú bīn	Lakeside district/Hubin district of Sanmenxia city 三門峽市|三门峡市[Sān mén xiá shì], Henan
湖濱	湖滨	hú bīn	lake front
湖濱區	湖滨区	Hú bīn qū	Lakeside district/Hubin district of Sanmenxia city 三門峽市|三门峡市[Sān mén xiá shì], Henan
漢濱	汉滨	Hàn bīn	Hanbin District of Ankang City 安康市[Ān kāng Shì], Shaanxi
漢濱區	汉滨区	Hàn bīn Qū	Hanbin District of Ankang City 安康市[Ān kāng Shì], Shaanxi
三趾濱鷸	三趾滨鹬	sān zhǐ bīn yù	(bird species of China) sanderling (Calidris alba)
濱城	滨城	Bīn chéng	Bincheng district of Binzhou city 濱州市|滨州市[Bīn zhōu shì], Shandong
濱城區	滨城区	Bīn chéng qū	Bincheng district of Binzhou city 濱州市|滨州市[Bīn zhōu shì], Shandong
濱州	滨州	Bīn zhōu	Binzhou prefecture-level city in Shandong
