滯	滞	zhì	sluggish
停滯不前	停滞不前	tíng zhì bù qián	stuck and not moving forward (idiom); stagnant/in a rut/at a standstill
凝滯	凝滞	níng zhì	to stagnate/to congeal/(fig.) to stop still/to freeze
呆滯	呆滞	dāi zhì	dull/lifeless/sluggish
暗滯	暗滞	àn zhì	dull (complexion)
板滯	板滞	bǎn zhì	stiff/dull
氣滯	气滞	qì zhì	stagnation of 氣|气[qì] (TCM)
淤滯	淤滞	yū zhì	silted up/obstructed by silt/variant of 瘀滯|瘀滞[yū zhì]
停滯	停滞	tíng zhì	stagnation/at a standstill/bogged down
滯塞	滞塞	zhì sāi	to obstruct
滯後	滞后	zhì hòu	to lag behind
滯期費	滞期费	zhì qī fèi	demurrage charge (shipping) (currency)
滯留	滞留	zhì liú	to detain/retention
滯留鋒	滞留锋	zhì liú fēng	stationary front (meteorology)
滯納	滞纳	zhì nà	overdue (payment)/in arrears
滯納金	滞纳金	zhì nà jīn	overdue fine/late fine
滯脹	滞胀	zhì zhàng	stagflation (i.e. simultaneous inflation and stagnation)
滯銷	滞销	zhì xiāo	to sell poorly/unmarketable/slow-moving (product, inventory etc)
瘀滯	瘀滞	yū zhì	(in Chinese medicine) stasis (of blood or other fluids)
目光呆滯	目光呆滞	mù guāng dāi zhì	to have a lifeless look in one's eyes (idiom)
蹇滯	蹇滞	jiǎn zhì	awkward/ominous/unfavorable
迂滯	迂滞	yū zhì	high-sounding and impractical
遲滯	迟滞	chí zhì	delay/procrastination
遲滯現象	迟滞现象	chí zhì xiàn xiàng	hysteresis
阻滯	阻滞	zǔ zhì	to clog up/silted up
黏滯	黏滞	nián zhì	viscous
黏滯性	黏滞性	nián zhì xìng	viscosity
