漁	渔	yú	fisherman/to fish
坐收漁利	坐收渔利	zuò shōu yú lì	benefit from others' dispute (idiom)
授之以魚不如授之以漁	授之以鱼不如授之以渔	shòu zhī yǐ yú bù rú shòu zhī yǐ yú	give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime (idiom)
授人以魚不如授人以漁	授人以鱼不如授人以渔	shòu rén yǐ yú bù rú shòu rén yǐ yú	give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime/knowledge is the best charity
李漁	李渔	Lǐ Yú	Li Yu (1611-c. 1680), late Ming and early Qing writer and dramatist
毛腳漁鴞	毛脚渔鸮	máo jiǎo yú xiāo	(bird species of China) Blakiston's fish owl (Bubo blakistoni)
涸澤而漁	涸泽而渔	hé zé ér yú	see 竭澤而漁|竭泽而渔[jié zé ér yú]
南方澳漁港	南方澳渔港	Nán fāng ào Yú gǎng	Nanfang-ao Port in Yilan county 宜蘭縣|宜兰县[Yí lán xiàn], Taiwan
漁人	渔人	yú rén	fisherman
漁具	渔具	yú jù	fishing gear
漁場	渔场	yú chǎng	fishing ground
漁夫	渔夫	yú fū	fisherman
漁婦	渔妇	yú fù	fisherwoman
漁撈	渔捞	yú lāo	fishing (as a commercial activity)
漁業	渔业	yú yè	fishing industry/fishery
漁民	渔民	yú mín	fisherman/fisher folk
漁汛	渔汛	yú xùn	fishing season
漁汛期	渔汛期	yú xùn qī	fishing season
漁港	渔港	yú gǎng	fishing port
漁獵	渔猎	yú liè	fishing and hunting/fig. to loot/to plunder
漁籠	渔笼	yú lóng	fishing pot (trap)
漁網	渔网	yú wǎng	fishing net/fishnet
漁船	渔船	yú chuán	fishing boat/CL:條|条[tiáo]
漁船隊	渔船队	yú chuán duì	fishing fleet
漁輪	渔轮	yú lún	fishing vessel
漁鉤	渔钩	yú gōu	variant of 魚鉤|鱼钩[yú gōu]
漁鉤兒	渔钩儿	yú gōu r5	variant of 魚鉤兒|鱼钩儿[yú gōu r5]
漁陽	渔阳	Yú yáng	old place name (in Yan of Warring states, in modern Beijing city)
漁雕	渔雕	yú diāo	(bird species of China) lesser fish eagle (Ichthyophaga humilis)
漁鷗	渔鸥	yú ōu	(bird species of China) Pallas's gull (Ichthyaetus ichthyaetus)
漁鼓	渔鼓	yú gǔ	percussion instrument in the form of a bamboo fish (traditionally used by Daoist priests)
禁漁	禁渔	jìn yú	ban on fishing
竭澤而漁	竭泽而渔	jié zé ér yú	lit. to drain the pond to get at the fish (idiom)/fig. to kill the goose that lays the golden eggs
褐漁鴞	褐渔鸮	hè yú xiāo	(bird species of China) brown fish owl (Ketupa zeylonensis)
鷸蚌相爭，漁翁得利	鹬蚌相争，渔翁得利	yù bàng xiāng zhēng , yú wēng dé lì	lit. sandpiper and clam war together and the fisherman catches both (idiom); fig. neighbors who can't agree lose out to a third party
黃腿漁鴞	黄腿渔鸮	huáng tuǐ yú xiāo	(bird species of China) tawny fish owl (Ketupa flavipes)
