潔	洁	jié	clean
保潔	保洁	bǎo jié	sanitation
保潔箱	保洁箱	bǎo jié xiāng	litter-bin
光潔	光洁	guāng jié	bright and clean
冰清玉潔	冰清玉洁	bīng qīng yù jié	clear as ice and clean as jade (idiom); spotless/irreproachable/incorruptible
寶潔	宝洁	Bǎo jié	Procter & Gamble (consumer goods company)
寶潔公司	宝洁公司	Bǎo jié Gōng sī	Procter & Gamble
廉潔	廉洁	lián jié	honest/not coercive/honesty/integrity/incorruptible
整潔	整洁	zhěng jié	neatly/tidy
楊潔篪	杨洁篪	Yáng Jié chí	Yang Jiechi (1950-), Chinese politician and diplomat, foreign minister of PRC 2007-2013
氯潔霉素	氯洁霉素	lǜ jié méi sù	clindamycin
洗潔劑	洗洁剂	xǐ jié jì	detergent
洗潔精	洗洁精	xǐ jié jīng	dishwashing liquid
深層清潔	深层清洁	shēn céng qīng jié	deep cleansing
清潔	清洁	qīng jié	clean/to clean
清潔劑	清洁剂	qīng jié jì	detergent/cleaning solution
清潔器	清洁器	qīng jié qì	cleaner
清潔工	清洁工	qīng jié gōng	cleaner/janitor/garbage collector
清潔球	清洁球	qīng jié qiú	scouring ball
清潔袋	清洁袋	qīng jié dài	waste disposal bag
佳潔士	佳洁士	Jiā jié shì	Crest (brand)
潔具	洁具	jié jù	bathroom fittings (washbasin, bathtub, toilet etc)
潔操	洁操	jié cāo	unimpeachable conduct/noble behavior/spotless personal integrity
潔淨	洁净	jié jìng	clean/to cleanse
潔淨無瑕	洁净无瑕	jié jìng wú xiá	clean and spotless
潔牙	洁牙	jié yá	scaling and polishing (dentistry)
潔癖	洁癖	jié pǐ	mysophobia/obsession with cleanliness/extreme fastidiousness
潔白	洁白	jié bái	spotlessly white/pure white
潔西卡	洁西卡	Jié xī kǎ	Jessica (name)
潔西卡·艾芭	洁西卡·艾芭	Jié xī kǎ · Ài bā	Jessica Alba, American actress
潔身自好	洁身自好	jié shēn zì hào	clean-living and honest (idiom); to avoid immorality/to shun evil influence/to mind one's own business and keep out of trouble/to keep one's hands clean
潔面乳	洁面乳	jié miàn rǔ	cleansing lotion
潔面露	洁面露	jié miàn lù	cleansing lotion
潔食	洁食	jié shí	kosher
玉潔冰清	玉洁冰清	yù jié bīng qīng	clear as ice and clean as jade (idiom); spotless/irreproachable/incorruptible
皎潔	皎洁	jiǎo jié	shining clean/bright (moonlight)
簡潔	简洁	jiǎn jié	concise/succinct/pithy
純潔	纯洁	chún jié	pure/clean and honest/to purify
羅潔愛爾之	罗洁爱尔之	Luó jié ài ěr zhī	Raziel, archangel in Judaism
聖潔	圣洁	shèng jié	pure and holy
自潔	自洁	zì jié	to cleanse oneself/to sanctify oneself/self-cleaning (spark plug, oven etc)
蠲潔	蠲洁	juān jié	to cleanse/to clean/to purify
貞潔	贞洁	zhēn jié	chastity
雅潔	雅洁	yǎ jié	elegant and pure
高潔	高洁	gāo jié	noble and clean-living/lofty and unsullied
高露潔	高露洁	Gāo lù jié	Colgate (brand)
