瀾	澜	lán	swelling water
推波助瀾	推波助澜	tuī bō zhù lán	to push the wave and add to the billows (idiom); to add momentum/to encourage sth to get bigger/to add fuel to the fire
楊瀾	杨澜	Yáng Lán	Yang Lan (1968-), Chinese media proprietor, journalist, and talk show hostess
波瀾	波澜	bō lán	billows/great waves (fig. of a story with great momentum)
波瀾壯闊	波澜壮阔	bō lán zhuàng kuò	surging forward with great momentum/unfolding on a magnificent scale
波瀾老成	波澜老成	bō lán lǎo chéng	splendid and powerful (of story)/majestic/awesome
波瀾起伏	波澜起伏	bō lán qǐ fú	one climax follows another (of thrilling story)
力挽狂瀾	力挽狂澜	lì wǎn kuáng lán	to pull strongly against a crazy tide (idiom); fig. to try hard to save a desperate crisis
瀾滄拉祜族自治縣	澜沧拉祜族自治县	Lán cāng Lā hù zú Zì zhì xiàn	Lancang Lahuzu Autonomous County in Pu'er 普洱[Pǔ ěr], Yunnan
瀾滄江	澜沧江	Lán cāng Jiāng	Lancang River of Qinghai and Yunnan, the upper reaches of Mekong River 湄公河[Méi gōng Hé] of Southeast Asia
瀾滄縣	澜沧县	Lán cāng xiàn	Lancang Lahuzu autonomous county in Pu'er 普洱[Pǔ ěr], Yunnan
觀瀾湖	观澜湖	Guān lán Hú	Mission Hills Group (Chinese hospitality, sports and leisure company)
