澱	淀	diàn	sediment/precipitate
木薯澱粉	木薯淀粉	mù shǔ diàn fěn	tapioca
沉澱	沉淀	chén diàn	to settle/to precipitate (solid sediment out of a solution)
沉澱物	沉淀物	chén diàn wù	precipitate/solid sediment
海澱	海淀	Hǎi diàn	Haidian inner district of northeast Beijing, includes Peking University, Tsinghua University 清華大學|清华大学[Qīng huá dà xué] and Zhongguancun 中關村|中关村[Zhōng guān cūn]
海澱區	海淀区	Hǎi diàn qū	Haidian inner district of northeast Beijing, includes Peking University, Tsinghua University 清華大學|清华大学[Qīng huá dà xué] and Zhongguancun 中關村|中关村[Zhōng guān cūn]
海澱圖書城	海淀图书城	Hǎi diàn Tú shū chéng	Haidian Book City, Beijing bookstore
動物澱粉	动物淀粉	dòng wù diàn fěn	glycogen
澱山湖	淀山湖	Diàn shān Hú	Dianshan Lake between Shanghai Municipality and Jiangsu Province
澱積	淀积	diàn jī	deposit/alluvium (shallow water sediment)
澱積物	淀积物	diàn jī wù	deposit/alluvium (shallow water sediment)
澱粉	淀粉	diàn fěn	starch/amylum C6H10O5
澱粉酶	淀粉酶	diàn fěn méi	amylase
玉米澱粉	玉米淀粉	yù mǐ diàn fěn	corn starch
白洋澱	白洋淀	Bái yáng diàn	Lake Baiyangdian
積澱	积淀	jī diàn	deposits accumulated over long periods/fig. valuable experience, accumulated wisdom
