濁	浊	zhuó	turbid/muddy/impure
惡濁	恶浊	è zhuó	filthy/foul
揚清激濁	扬清激浊	yáng qīng jī zhuó	lit. drain away filth and bring in fresh water (idiom); fig. dispel evil and usher in good/eliminate vice and exalt virtue
污濁	污浊	wū zhuó	dirty/muddy/foul (sewer)
混濁	混浊	hùn zhuó	turbid/muddy/dirty
渾濁	浑浊	hún zhuó	muddy/turbid
溷濁	溷浊	hùn zhuó	variant of 混濁|混浊[hùn zhuó]
激濁揚清	激浊扬清	jī zhuó yáng qīng	lit. drain away filth and bring in fresh water (idiom); fig. dispel evil and usher in good/eliminate vice and exalt virtue
五濁	五浊	wǔ zhuó	the five impurities (Buddhism)
濁世	浊世	zhuó shì	the world in chaos/troubled times/the mortal world (Buddhism)
濁塞音	浊塞音	zhuó sè yīn	(linguistics) voiced stop
濁度	浊度	zhuó dù	turbidity
濁流	浊流	zhuó liú	turbid flow/muddy waters/fig. a contemptible person/fig. corrupt or disgraceful social trends
濁積岩	浊积岩	zhuó jī yán	turbidite (geology)
濁臭熏天	浊臭熏天	zhuó chòu xūn tiān	stinks to high heaven
濁輔音	浊辅音	zhuó fǔ yīn	voiced consonant (linguistics)
濁酒	浊酒	zhuó jiǔ	unfiltered rice wine
濁音	浊音	zhuó yīn	(phonetics) voiced sound/sonant
白濁	白浊	bái zhuó	gonorrhea (TCM term)/more commonly known as 淋病[lìn bìng]
稠濁	稠浊	chóu zhuó	numerous and confused/forming a confused mass
齷濁	龌浊	wò zhuó	filthy/nasty/sordid/impure (motives)
