瀕	濒	bīn	to approach/to border on/near
瀕危	濒危	bīn wēi	endangered (species)/in imminent danger/critically ill
瀕危物種	濒危物种	bīn wēi wù zhǒng	endangered species
瀕危野生動植物種國際貿易公約	濒危野生动植物种国际贸易公约	Bīn wēi Yě shēng Dòng Zhí wù zhǒng Guó jì Mào yì Gōng yuē	Convention on International Trade in Endangered Species of Wild Fauna and Flora/CITES
瀕於	濒于	bīn yú	near to/approaching (collapse)
瀕死	濒死	bīn sǐ	nearing death/on the point of demise/approaching extinction
瀕河	濒河	bīn hé	bordering a river/riparian
瀕海	濒海	bīn hǎi	coastal/bordering the sea
瀕滅	濒灭	bīn miè	on the brink of extinction
瀕臨	濒临	bīn lín	on the edge of/(fig.) on the verge of/close to
瀕近	濒近	bīn jìn	on the brink
