濤	涛	tāo	big wave/Taiwan pr. [táo]
波濤	波涛	bō tāo	great waves/billows
波濤洶涌	波涛汹涌	bō tāo xiōng yǒng	waves surging forth/roaring sea
波濤磷磷	波涛磷磷	bō tāo lín lín	variant of 波濤粼粼|波涛粼粼[bō tāo lín lín]
波濤粼粼	波涛粼粼	bō tāo lín lín	crystalline waves (idiom)
浪濤	浪涛	làng tāo	ocean wave/billows
世濤	世涛	shì tāo	stout (beer) (loanword)
石濤	石涛	Shí Tāo	Shi Tao (1642-1707), Chinese landscape painter and poet
胡錦濤	胡锦涛	Hú Jǐn tāo	Hu Jintao (1942-), General Secretary of the CCP 2002-2012, president of the PRC 2003-2013
驚濤	惊涛	jīng tāo	raging waves/stormy waves
驚濤駭浪	惊涛骇浪	jīng tāo hài làng	perilous situation
