濾	滤	lǜ	to strain/to filter
滲濾	渗滤	shèn lǜ	percolation
滲濾壺	渗滤壶	shèn lǜ hú	coffee percolator
偏極濾光鏡	偏极滤光镜	piān jí lǜ guāng jìng	polarizing filter
濾出	滤出	lǜ chū	to filter out
濾嘴	滤嘴	lǜ zuǐ	cigarette filter
濾器	滤器	lǜ qì	filter/strainer
濾塵器	滤尘器	lǜ chén qì	dust filter
濾壓壺	滤压壶	lǜ yā hú	French press/press pot
濾毒通風裝置	滤毒通风装置	lǜ dú tōng fēng zhuāng zhì	filtration equipment
濾泡	滤泡	lǜ pào	follicle
濾波	滤波	lǜ bō	filtering radio waves (i.e. to pick out one frequency)
濾波器	滤波器	lǜ bō qì	filter
濾液	滤液	lǜ yè	filtrate
濾清	滤清	lǜ qīng	to filter and purify
濾清器	滤清器	lǜ qīng qì	a filter
濾盆	滤盆	lǜ pén	colander
濾砂	滤砂	lǜ shā	filter sand
濾紙	滤纸	lǜ zhǐ	filter paper
濾網	滤网	lǜ wǎng	filter/a sieve
濾色鏡	滤色镜	lǜ sè jìng	color filter
濾芯	滤芯	lǜ xīn	filter cartridge/filter
濾過	滤过	lǜ guò	to filter
濾鍋	滤锅	lǜ guō	colander
濾除	滤除	lǜ chú	to filter out
濾餅	滤饼	lǜ bǐng	filtrate/solid residue produced by a filter/mud from filtering can sugar
過濾	过滤	guò lǜ	to filter/filter
過濾嘴香煙	过滤嘴香烟	guò lǜ zuǐ xiāng yān	filter-tipped cigarette
過濾器	过滤器	guò lǜ qì	filtering apparatus/(machine) filter
