燈	灯	dēng	lamp/light/lantern/CL:盞|盏[zhǎn]
亮黃燈	亮黄灯	liàng huáng dēng	(lit.) to flash the yellow light/(fig.) to give a warning sign
保險燈	保险灯	bǎo xiǎn dēng	kerosene lamp
信號燈	信号灯	xìn hào dēng	signal light/car indicator
傳燈	传灯	chuán dēng	to pass on the light of Buddha
冰燈	冰灯	bīng dēng	ice lantern
前信號燈	前信号灯	qián xìn hào dēng	car front indicator
前大燈	前大灯	qián dà dēng	headlight
前照燈	前照灯	qián zhào dēng	(vehicle) headlight
前燈	前灯	qián dēng	headlight
剎車燈	刹车灯	shā chē dēng	brake light
南瓜燈	南瓜灯	nán guā dēng	jack-o'-lantern
危險警告燈	危险警告灯	wēi xiǎn jǐng gào dēng	hazard lights
取燈兒	取灯儿	qǔ dēng r5	(dialect) match (for lighting fire)
只許州官放火，不許百姓點燈	只许州官放火，不许百姓点灯	zhǐ xǔ zhōu guān fàng huǒ , bù xǔ bǎi xìng diǎn dēng	only the official is allowed to light the fire/Gods may do what cattle may not/quod licet Iovi, non licet bovi
吊燈	吊灯	diào dēng	hanging lamp
吸頂燈	吸顶灯	xī dǐng dēng	flush-mounted ceiling lamp (loanword)
吹燈拔蠟	吹灯拔蜡	chuī dēng bá là	lit. to blow out the lamp and put out the candle (idiom)/fig. to die/to bite the dust/to be over and done with
壁燈	壁灯	bì dēng	wall lamp/bracket light/CL:盞|盏[zhǎn]
大燈	大灯	dà dēng	headlight
大紅燈籠高高掛	大红灯笼高高挂	Dà hóng Dēng lóng Gāo gāo Guà	Raise the Red Lantern (1991), movie by Zhang Yimou 張藝謀|张艺谋[Zhāng Yì móu]
天燈	天灯	tiān dēng	sky lantern (miniature hot-air balloon used during festivals)
太陽燈	太阳灯	tài yáng dēng	sunlamp
孔明燈	孔明灯	kǒng míng dēng	sky lantern (miniature hot-air balloon used during festivals)
安全燈	安全灯	ān quán dēng	safety lamp/safelight
射燈	射灯	shè dēng	spotlight
