災	灾	zāi	disaster/calamity
受災地區	受灾地区	shòu zāi dì qū	disaster area
回祿之災	回禄之灾	huí lù zhī zāi	to have one's house burned down/fire disaster
多災多難	多灾多难	duō zāi duō nàn	to be plagued with misfortunes/precarious
大災	大灾	dà zāi	calamity/catastrophe
天災	天灾	tiān zāi	natural disaster
天災人禍	天灾人祸	tiān zāi rén huò	natural calamities and man-made disasters (idiom)
天災地孽	天灾地孽	tiān zāi dì niè	catastrophes and unnatural phenomena/Heaven-sent warnings
幸災樂禍	幸灾乐祸	xìng zāi lè huò	lit. to take joy in calamity and delight in disaster (idiom); fig. to rejoice in other people's misfortune/Schadenfreude
成災	成灾	chéng zāi	disastrous/to turn into a disaster
抗災	抗灾	kàng zāi	defense against natural disasters
抗震救災指揮部	抗震救灾指挥部	kàng zhèn jiù zāi zhǐ huī bù	earthquake relief headquarter
招災惹禍	招灾惹祸	zhāo zāi rě huò	to invite disaster
搶險救災	抢险救灾	qiǎng xiǎn jiù zāi	to provide relief during times of emergency and disaster (idiom)
攘災	攘灾	rǎng zāi	to ward off calamities/to avoid disaster
救災	救灾	jiù zāi	to relieve disaster/to help disaster victims
救災救濟司	救灾救济司	jiù zāi jiù jì sī	emergency aid committee (of PRC Ministry of Civil Affairs 民政部)
救災款	救灾款	jiù zāi kuǎn	disaster relief funds
旱災	旱灾	hàn zāi	drought
次生災害	次生灾害	cì shēng zāi hài	secondary disaster (e.g. epidemic following floods)
水災	水灾	shuǐ zāi	flood/flood damage
泛濫成災	泛滥成灾	fàn làn chéng zāi	lit. to flood (idiom)/fig. rampant/in plague proportions
洪災	洪灾	hóng zāi	flood
消災	消灾	xiāo zāi	to avoid calamities
消災避邪	消灾避邪	xiāo zāi bì xié	to avoid calamities and evil spirits
減災	减灾	jiǎn zāi	measures to reduce disasters
火災	火灾	huǒ zāi	fire (that burns buildings etc)
受災	受灾	shòu zāi	disaster-stricken/to be hit by a natural calamity
災區	灾区	zāi qū	disaster area/stricken region
災場	灾场	zāi chǎng	disaster area/scene of accident
災害	灾害	zāi hài	calamity/disaster/CL:個|个[gè]
災害鏈	灾害链	zāi hài liàn	series of calamities/disaster following on disaster
災後	灾后	zāi hòu	after a catastrophe/post-traumatic
災情	灾情	zāi qíng	disastrous situation/calamity
災星	灾星	zāi xīng	comet or supernova viewed as evil portent
災殃	灾殃	zāi yāng	disaster
災民	灾民	zāi mín	victim (of a disaster)
災禍	灾祸	zāi huò	disaster
災荒	灾荒	zāi huāng	natural disaster/famine
災變	灾变	zāi biàn	catastrophe/cataclysmic change
災變說	灾变说	zāi biàn shuō	catastrophism (theory that geological changes are brought about by catastrophes such as the biblical flood)
災變論	灾变论	zāi biàn lùn	catastrophism/the theory that geological change is caused by catastrophic events such as the Biblical flood
災難	灾难	zāi nàn	disaster/catastrophe
災難性	灾难性	zāi nàn xìng	catastrophic
災難片	灾难片	zāi nàn piàn	disaster movie
牢獄之災	牢狱之灾	láo yù zhī zāi	imprisonment
破財免災	破财免灾	pò cái miǎn zāi	a financial loss may prevent disaster (idiom)
祈福禳災	祈福禳灾	qí fú ráng zāi	to pray for luck and sacrifice to avoid disasters (i.e. traditional superstitions)
祛邪除災	祛邪除灾	qū xié chú zāi	to drive away demons to prevent calamity (idiom)
股災	股灾	gǔ zāi	market crash
自然災害	自然灾害	zì rán zāi hài	natural disaster
蝗災	蝗灾	huáng zāi	plague of locusts
蟲災	虫灾	chóng zāi	insect damage/destruction of crops by pest insects
賑災	赈灾	zhèn zāi	disaster relief
逃災避難	逃灾避难	táo zāi bì nàn	to seek refuge from calamities
重災	重灾	zhòng zāi	severe disaster
重災區	重灾区	zhòng zāi qū	area particularly hard-hit by a disaster/disaster area
防災	防灾	fáng zāi	disaster prevention/to protect against natural disasters
雹災	雹灾	báo zāi	disaster caused by hail
震災	震灾	zhèn zāi	earthquake damage
霜災	霜灾	shuāng zāi	frost damage (to crop)
風災	风灾	fēng zāi	damaging storm/destructive typhoon
