焉	焉	yān	where/how
割雞焉用牛刀	割鸡焉用牛刀	gē jī yān yòng niú dāo	lit. why use a pole-ax to slaughter a chicken? (idiom)/fig. to waste effort on a trifling matter/also written 殺雞焉用牛刀|杀鸡焉用牛刀[shā jī yān yòng niú dāo]
塞翁失馬焉知非福	塞翁失马焉知非福	sài wēng shī mǎ yān zhī fēi fú	the old man lost his mare, but it all turned out for the best (idiom); fig. a blessing in disguise/it's an ill wind that blows nobody any good
心不在焉	心不在焉	xīn bù zài yān	absent-minded/preoccupied/inattentive/with one's thoughts wandering
於焉	于焉	yú yān	(classical) see 於是|于是[yú shì]
有子存焉	有子存焉	yǒu zǐ cún yān	I still have sons, don't I?/fig. future generations will continue the work
殺雞焉用牛刀	杀鸡焉用牛刀	shā jī yān yòng niú dāo	don't use a sledgehammer on a nut/aquila non capit muscam
不入虎穴，焉得虎子	不入虎穴，焉得虎子	bù rù hǔ xué , yān dé hǔ zǐ	How do you catch the tiger cub without entering the tiger's lair? (idiom); Nothing ventured, nothing gained.
焉知	焉知	yān zhī	(literary) how is one to know?
焉耆	焉耆	Yān qí	Yanqi county in Xinjiang
焉耆回族自治縣	焉耆回族自治县	Yān qí Huí zú Zì zhì xiàn	Yanqi Hui Autonomous County in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
焉耆盆地	焉耆盆地	Yān qí pén dì	Yanqi basin in northeast of Tarim basin
焉耆縣	焉耆县	Yān qí xiàn	Yenji Xuyzu aptonom nahiyisi or Yanqi Hui autonomous county in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
燕雀焉知鴻鵠之志	燕雀焉知鸿鹄之志	yàn què yān zhī hóng gǔ zhī zhì	lit. can the sparrow and swallow know the will of the great swan? (idiom); fig. how can we small fry predict the ambitions of the great?
異焉	异焉	yì yān	feeling surprised at sth
語焉不詳	语焉不详	yǔ yān bù xiáng	to mention sth without elaborating (idiom); not giving details
過而能改，善莫大焉	过而能改，善莫大焉	guò ér néng gǎi , shàn mò dà yān	If one can change after making a mistake, there is nothing better (idiom)
