焚	焚	fén	to burn
救焚益薪	救焚益薪	jiù fén yì xīn	add firewood to put out the flames (idiom); fig. ill-advised action that only makes the problem worse/to add fuel to the fire
慾火焚身	欲火焚身	yù huǒ fén shēn	burning with desire
焚化	焚化	fén huà	to cremate
焚屍	焚尸	fén shī	to cremate
焚屍爐	焚尸炉	fén shī lú	crematorium/crematory oven
焚書坑儒	焚书坑儒	fén shū kēng rú	to burn the Confucian classics and bury alive the Confucian scholars (acts supposedly committed by the first emperor 秦始皇[Qín Shǐ huáng])
焚毀	焚毁	fén huǐ	to burn down/to destroy with fire
焚燒	焚烧	fén shāo	to burn/to set on fire
焚燬	焚毁	fén huǐ	to burn down/to destroy with fire/trad. also written 焚毀
焚琴煮鶴	焚琴煮鹤	fén qín zhǔ hè	lit. to burn zithers and cook cranes/fig. to waste valuable resources/to destroy wantonly beautiful things
焚硯	焚砚	fén yàn	to destroy one's ink-slab/to write no more because others write so much better (idiom)
焚膏繼晷	焚膏继晷	fén gāo jì guǐ	to burn the midnight oil (idiom); to work continuously night and day
焚風	焚风	fén fēng	foehn wind (loanword)
焚香	焚香	fén xiāng	to burn incense
焚香敬神	焚香敬神	fén xiāng jìng shén	to burn incense in prayer to a God
玉石俱焚	玉石俱焚	yù shí jù fén	to burn both jade and common stone/to destroy indiscriminately (idiom)
玩火自焚	玩火自焚	wán huǒ zì fén	to play with fire and get burnt (idiom); fig. to play with evil and suffer the consequences/to get one's fingers burnt
自焚	自焚	zì fén	self-immolation
芝焚蕙嘆	芝焚蕙叹	zhī fén huì tàn	lit. when one grass burns the other grass sighs (idiom); fig. to have sympathy with a like-minded person in distress
芝焚蕙歎	芝焚蕙叹	zhī fén huì tàn	lit. when one grass burns the other grass sighs (idiom); fig. to have sympathy with a like-minded person in distress
蘭艾同焚	兰艾同焚	lán ài tóng fén	lit. to burn both fragrant orchids and stinking weeds (idiom); fig. to destroy indiscriminately the noble and common/the rain falls on the just and unjust alike
