燭	烛	zhú	candle/(literary) to illuminate
洞房花燭	洞房花烛	dòng fáng huā zhú	bridal room and ornamented candles/wedding festivities (idiom)
洞房花燭夜	洞房花烛夜	dòng fáng huā zhú yè	wedding night
火燭	火烛	huǒ zhú	fire and candles/household things that burn
炳燭	炳烛	bǐng zhú	by bright candlelight
倒吊蠟燭	倒吊蜡烛	dào diào là zhú	Wrightia tinctoria (flowering plant in Apocynaceae family, common names dyer's oleander or pala indigo)
燭光	烛光	zhú guāng	candle light/candle-lit (vigil etc)/candela, unit of luminous intensity (cd)
燭架	烛架	zhú jià	candlestick holder/candlestand/candelabra
燭淚	烛泪	zhú lèi	drop of melted wax that runs down the side of a candle
燭火	烛火	zhú huǒ	candle flame
燭臺	烛台	zhú tái	candlestick/candle holder
秉燭	秉烛	bǐng zhú	variant of 炳燭|炳烛[bǐng zhú]
紅燭	红烛	hóng zhú	red candle (used during birthdays and other celebrations)
聖燭節	圣烛节	Shèng zhú jié	Candlemas (Christian Festival on 2nd February)
蠟燭	蜡烛	là zhú	candle/CL:根[gēn],支[zhī]
蠟燭不點不亮	蜡烛不点不亮	là zhú bù diǎn bù liàng	some people have to be pushed for them to take action
蠟燭兩頭燒	蜡烛两头烧	là zhú liǎng tóu shāo	to burn the candle at both ends (idiom)/to labor under a double burden
風中之燭	风中之烛	fēng zhōng zhī zhú	lit. candle in the wind (idiom)/fig. (of sb's life) feeble/hanging on a thread
風中燭，瓦上霜	风中烛，瓦上霜	fēng zhōng zhú , wǎ shàng shuāng	lit. like a candle in the wind, or frost on the roof (idiom)/fig. (of sb's life) feeble/hanging on a thread
風燭殘年	风烛残年	fēng zhú cán nián	one's late days/to have one foot in the grave
香燭	香烛	xiāng zhú	joss stick and candle
