爾	尔	ěr	thus/so/like that/you/thou
不過爾爾	不过尔尔	bù guò ěr ěr	not more than so-so (idiom); mediocre/nothing out of the ordinary
世界維吾爾代表大會	世界维吾尔代表大会	Shì jiè Wéi wú ěr Dài biǎo Dà huì	World Uighur Congress
丘吉爾	丘吉尔	Qiū jí ěr	variant of 邱吉爾|邱吉尔[Qiū jí ěr]
丘爾金	丘尔金	Qiū ěr jīn	Churkin (name)/Vitaly I. Churkin (1952-), Russian diplomat, Ambassador to UN from 2006
丹尼爾	丹尼尔	Dān ní ěr	Daniel (name)
乃爾	乃尔	nǎi ěr	thus/like this
亞爾發和奧米加	亚尔发和奥米加	yà ěr fā hé ào mǐ jiā	Alpha and Omega
亞西爾·阿拉法特	亚西尔·阿拉法特	Yà xī ěr · Ā lā fǎ tè	Mohammed Abdel Rahman Abdel Raouf Arafat al-Qudwa al-Husseini (1929-2004), Palestinian leader, popularly known as Yasser Arafat
亞速爾群島	亚速尔群岛	Yà sù ěr Qún dǎo	Azores Islands
亨德爾	亨德尔	Hēng dé ěr	Handel (name)/George Frideric Handel (1685-1759), German-born Baroque composer, naturalized British in 1727
代爾夫特	代尔夫特	Dài ěr fū tè	Delft, Zuid-Holland, the Netherlands
伊思邁爾	伊思迈尔	Yī sī mài ěr	Ismail (name)/Shāh Ismāil I (1487-1524), founder of Persian Safavid dynasty, reigned 1501-1524
伊戈爾	伊戈尔	Yī gē ěr	Igor
伊戈爾斯	伊戈尔斯	Yī gē ěr sī	Eagles (name)
伊斯坦布爾	伊斯坦布尔	Yī sī tǎn bù ěr	Istanbul, Turkey
伊爾庫茨克	伊尔库茨克	Yī ěr kù cí kè	Irkutsk
伏爾加格勒	伏尔加格勒	Fú ěr jiā gé lè	Volgograd, Russian city on the Volga River 伏爾加河|伏尔加河[Fú ěr jiā Hé]
伏爾加河	伏尔加河	Fú ěr jiā Hé	Volga River
伏爾泰	伏尔泰	Fú ěr tài	Voltaire (1694-1778), Enlightenment philosopher
伯爾尼	伯尔尼	Bó ěr ní	Bern, capital of Switzerland
佈爾喬亞	布尔乔亚	bù ěr qiáo yà	bourgeois (loanword)/also written 布爾喬亞|布尔乔亚
俄爾	俄尔	é ěr	see 俄而[é ér]
保爾	保尔	Bǎo ěr	Paul (name)
保爾森	保尔森	Bǎo ěr sēn	Paulson or Powellson (name)/Henry (Hank) Paulson (1946-), US banker, US Treasury Secretary from 2006
偶爾	偶尔	ǒu ěr	occasionally/once in a while/sometimes
傑西卡·艾爾芭	杰西卡·艾尔芭	Jié xī kǎ · Ài ěr bā	Jessica Alba, American actress
儒勒·凡爾納	儒勒·凡尔纳	Rú lè · Fán ěr nà	Jules Verne (1828-1905), French novelist specializing in science fiction and adventure stories, author of Around the World in Eighty Days 八十天环绕地球
克什米爾	克什米尔	Kè shí mǐ ěr	Kashmir
克孜勒蘇柯爾克孜自治州	克孜勒苏柯尔克孜自治州	Kè zī lè sū Kē ěr kè zī zì zhì zhōu	Qizilsu or Kizilsu Kyrgyz autonomous prefecture in Xinjiang
克孜爾千佛洞	克孜尔千佛洞	Kè zī ěr qiān fó dòng	Kezil thousand-Buddha grotto in Baicheng 拜城, Aksu 阿克蘇地區|阿克苏地区, Xinjiang
克孜爾尕哈	克孜尔尕哈	Kè zī ěr gǎ hā	Kizilgaha (Uighur: red-mouthed crow or border sentry), site of famous fire beacon tower and cliff caves in Kuchar county 庫車|库车, Aksu 阿克蘇地區|阿克苏地区, Xinjiang
克孜爾尕哈烽火台	克孜尔尕哈烽火台	Kè zī ěr gǎ hā fēng huǒ tái	Kizilgaha fire beacon tower in Kuchar county 庫車|库车, Aksu 阿克蘇地區|阿克苏地区, Xinjiang
克拉斯諾亞爾斯克	克拉斯诺亚尔斯克	Kè lā sī nuò yà ěr sī kè	Krasnoyarsk
克拉斯諾達爾	克拉斯诺达尔	kè lā sī nuò dá ěr	Krasnodar (city in Russia)
克爾白	克尔白	Kè ěr bái	Ka'aba, sacred building in Mecca
克萊爾	克莱尔	Kè lái ěr	Claire (name)
克里奧爾語	克里奥尔语	kè lǐ ào ěr yǔ	creole language
克里斯汀·貝爾	克里斯汀·贝尔	Kè lǐ sī tīng · Bèi ěr	Christian Bale (1974-), English actor
具爾	具尔	jù ěr	brother
准格爾旗	准格尔旗	Zhǔn gé ěr Qí	Jungar Banner in Ordos 鄂爾多斯|鄂尔多斯[È ěr duō sī], Inner Mongolia
凡爾丁	凡尔丁	fán ěr dīng	valitin (plain wool fabric) (loanword)
凡爾賽	凡尔赛	Fán ěr sài	Versailles (near Paris)
凱爾特人	凯尔特人	Kǎi ěr tè rén	Celt
出爾反爾	出尔反尔	chū ěr fǎn ěr	old: to reap the consequences of one's words (idiom, from Mencius); modern: to go back on one's word/to blow hot and cold/to contradict oneself/inconsistent
切爾西	切尔西	Qiè ěr xī	Chelsea
切爾諾貝利	切尔诺贝利	Qiē ěr nuò bèi lì	Chernobyl
列夫·托爾斯泰	列夫·托尔斯泰	Liè fū · Tuō ěr sī tài	Tolstoy (name)/Count Lev Nikolayevich Tostoy (1828-1910), great Russian novelist, author of War and Peace 戰爭與和平|战争与和平
利伯維爾	利伯维尔	Lì bó wéi ěr	Libreville, capital of Gabon
利勒哈默爾	利勒哈默尔	Lì lè hā mò ěr	Lillehammer (city in Norway)
利馬索爾	利马索尔	Lì mǎ suǒ ěr	Limassol, Cyprus/Lemesos
前郭爾羅斯蒙古族自治縣	前郭尔罗斯蒙古族自治县	Qián guō ěr Luó sī Měng gǔ zú Zì zhì xiàn	Qian Gorlos Mongol autonomous county in Songyuan 松原, Jilin
加俾額爾	加俾额尔	Jiā bǐ é ěr	Gabriel (biblical name)
加爾各答	加尔各答	Jiā ěr gè dá	Calcutta (India)
加爾文	加尔文	Jiā ěr wén	Calvin (1509-1564), French protestant reformer
加索爾	加索尔	Jiā suǒ ěr	Gasol (name)/Pau Gasol (1980-), Spanish professional basketball player (NBA)/Marc Gasol (1985-), Spanish professional basketball player (NBA)
努爾哈赤	努尔哈赤	Nǔ ěr hā chì	Nurhaci (1559-1626), founder and first Khan of the Manchu Later Jin dynasty 後金|后金 (from 1616)
勒哈費爾	勒哈费尔	Lè Hā fèi ěr	Le Havre (French town)
包爾	包尔	Bāo ěr	Borr (Norse deity)
北愛爾蘭	北爱尔兰	Běi Ài ěr lán	Northern Ireland
卑爾根	卑尔根	Bēi ěr gēn	Bergen
卓爾不群	卓尔不群	zhuó ěr bù qún	standing above the common crowd (idiom); outstanding/excellent and unrivaled
博帕爾	博帕尔	Bó pà ěr	Bhopal, capital of central Indian state of Madhya Pradesh 中央邦[Zhōng yāng bāng]
博爾塔拉蒙古自治州	博尔塔拉蒙古自治州	Bó ěr tǎ lā Měng gǔ zì zhì zhōu	Börtala Mongol autonomous prefecture in Xinjiang
博爾德	博尔德	Bó ěr dé	Boulder, Colorado
