牆	墙	qiáng	wall/CL:面[miàn],堵[dǔ]
人牆	人墙	rén qiáng	wall (soccer)
付費牆	付费墙	fù fèi qiáng	(computing) paywall (loanword)
佛跳牆	佛跳墙	fó tiào qiáng	lit. Buddha jumps over the wall, name for a Chinese dish that uses many non-vegetarian ingredients
兄弟鬩牆	兄弟阋墙	xiōng dì xì qiáng	internecine strife (idiom); fighting among oneself
哭牆	哭墙	Kū qiáng	Wailing Wall, or Western Wall (Jerusalem)
圍牆	围墙	wéi qiáng	perimeter wall/fence/CL:道[dào]
城牆	城墙	chéng qiáng	city wall
外牆	外墙	wài qiáng	facade/external wall
女兒牆	女儿墙	nǚ ér qiáng	crenelated parapet wall
女牆	女墙	nǚ qiáng	crenelated parapet wall
山牆	山墙	shān qiáng	gable
幕牆	幕墙	mù qiáng	curtain wall (architecture)
引水入牆	引水入墙	yǐn shuǐ rù qiáng	lit. to lead the water through the wall/to ask for trouble (idiom)
拆東牆補西牆	拆东墙补西墙	chāi dōng qiáng bǔ xī qiáng	lit. pull down the east wall to repair the west wall (idiom); fig. temporary expedient/Rob Peter to pay Paul
挖牆腳	挖墙脚	wā qiáng jiǎo	to undermine/to let someone down/to seduce someone away from something
擋風牆	挡风墙	dǎng fēng qiáng	lit. windbreak/fig. protector
柏林圍牆	柏林围墙	Bó lín Wéi qiáng	Berlin Wall
柏林牆	柏林墙	Bó lín Qiáng	Berlin Wall
民主牆	民主墙	mín zhǔ qiáng	Democracy Wall (1978-1989), esp. during the Beijing Spring democracy movement
沒有不透風的牆	没有不透风的墙	méi yǒu bù tòu fēng de qiáng	(idiom) no secret can be kept forever
浮雕牆紙	浮雕墙纸	fú diāo qiáng zhǐ	anaglypta (sculptured wallpaper)
混水牆	混水墙	hún shuǐ qiáng	plastered masonry wall
清水牆	清水墙	qīng shuǐ qiáng	unplastered masonry wall
火牆	火墙	huǒ qiáng	firewall
爛泥扶不上牆	烂泥扶不上墙	làn ní fú bù shàng qiáng	useless (idiom)/worthless/inept
爛泥糊不上牆	烂泥糊不上墙	làn ní hú bù shàng qiáng	see 爛泥扶不上牆|烂泥扶不上墙[làn ní fú bù shàng qiáng]
爬牆	爬墙	pá qiáng	to climb a wall/(fig.) to be unfaithful
不撞南牆不回頭	不撞南墙不回头	bù zhuàng nán qiáng bù huí tóu	to stubbornly insist on one's own ideas (idiom)
牆垣	墙垣	qiáng yuán	wall/fence
牆報	墙报	qiáng bào	wall newspaper
牆壁	墙壁	qiáng bì	wall
牆旮旯	墙旮旯	qiáng gā lá	recess between walls
牆板鋸	墙板锯	qiáng bǎn jù	drywall saw/plasterboard saw
牆根	墙根	qiáng gēn	foot of a wall
牆紙	墙纸	qiáng zhǐ	wallpaper
牆角	墙角	qiáng jiǎo	corner (junction of two walls)
牆頭草	墙头草	qiáng tóu cǎo	sb who goes whichever way the wind blows/sb with no mind of their own/easily swayed person/opportunist
狗急跳牆	狗急跳墙	gǒu jí tiào qiáng	a cornered dog will jump over the wall (idiom)/to be driven to desperate action
石膏牆板	石膏墙板	shí gāo qiáng bǎn	drywall/gypsum wallboard/plasterboard
空心牆	空心墙	kōng xīn qiáng	cavity wall/hollow wall
粉牆	粉墙	fěn qiáng	whitewashed wall/to whitewash a wall
糊牆	糊墙	hú qiáng	to paper a wall
糊牆紙	糊墙纸	hú qiáng zhǐ	wallpaper
紅杏出牆	红杏出墙	hóng xìng chū qiáng	lit. the red apricot tree leans over the garden wall (idiom)/fig. a wife having an illicit lover
翻牆	翻墙	fān qiáng	lit. to climb over the wall/fig. to breach the Great Firewall of China
聽牆根	听墙根	tīng qiáng gēn	to eavesdrop/to listen in secret to sb's conversations
聽牆根兒	听墙根儿	tīng qiáng gēn r5	erhua variant of 聽牆根|听墙根[tīng qiáng gēn]
聽牆面	听墙面	tīng qiáng miàn	surface of wall
胸牆	胸墙	xiōng qiáng	parapet/defensive wall/breastwork
蕭牆	萧墙	xiāo qiáng	(literary) screen wall shielding an entrance in traditional Chinese architecture
西牆	西墙	Xī qiáng	Western Wall, or Wailing Wall (Jerusalem)
銅牆鐵壁	铜墙铁壁	tóng qiáng tiě bì	copper wall, iron bastion (idiom); impenetrable defense
防火牆	防火墙	fáng huǒ qiáng	firewall/CL:堵[dǔ]
隔牆有耳	隔墙有耳	gé qiáng yǒu ěr	the walls have ears (idiom)
騎牆	骑墙	qí qiáng	to sit on the fence/to take both sides in a dispute
