牡	牡	mǔ	(of a bird, animal or plant) male/key/hills
牝牡	牝牡	pìn mǔ	male and female
牝牡驪黃	牝牡骊黄	pìn mǔ lí huáng	a black stallion or possibly a yellow mare (idiom); don't judge by outward appearance
牝雞牡鳴	牝鸡牡鸣	pìn jī mǔ míng	female chicken crows at daybreak (idiom); a woman usurps authority/women meddle in politics/The female wears the trousers.
天竺牡丹	天竺牡丹	tiān zhú mǔ dan	dahlia
牡丹	牡丹	Mǔ dan	Mudan District of Heze City 菏澤市|菏泽市[Hé zé Shì], Shandong/Mutan township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
牡丹	牡丹	mǔ dan	tree peony (Paeonia suffruticosa)
牡丹亭	牡丹亭	Mǔ dan Tíng	The Peony Pavilion (1598), play by Tang Xianzu 湯顯祖|汤显祖[Tāng Xiǎn zǔ]
牡丹區	牡丹区	Mǔ dan Qū	Mudan District of Heze City 菏澤市|菏泽市[Hé zé Shì], Shandong
牡丹卡	牡丹卡	mǔ dan kǎ	Peony Card (credit card issued by Industrial and Commercial Bank of China)
牡丹坊	牡丹坊	mǔ dan fāng	Peony Lane
牡丹江	牡丹江	Mǔ dan jiāng	Mudanjiang prefecture level city in Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
牡丹江地區	牡丹江地区	Mǔ dan jiāng dì qū	Mudanjiang prefecture in Heilongjiang
牡丹江市	牡丹江市	Mǔ dan jiāng shì	Mudanjiang prefecture level city in Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
牡丹皮	牡丹皮	mǔ dan pí	root bark of the peony tree (used in TCM)
牡丹鄉	牡丹乡	Mǔ dan xiāng	Mutan township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
牡丹雖好，全仗綠葉扶	牡丹虽好，全仗绿叶扶	mǔ dan suī hǎo , quán zhàng lǜ yè fú	Although the peony is beautiful, it depends entirely on help from the green leaves (idiom). However brilliant you may be, you can't do anything without support from others.
牡丹雖好，全仗綠葉扶持	牡丹虽好，全仗绿叶扶持	mǔ dan suī hǎo , quán zhàng lǜ yè fú chí	Although the peony is beautiful, it depends entirely on help from the green leaves (idiom). However brilliant you may be, you can't do anything without support from others.
牡丹雖好，全憑綠葉扶持	牡丹虽好，全凭绿叶扶持	mǔ dan suī hǎo , quán píng lǜ yè fú chí	Although the peony is beautiful, it depends entirely on help from the green leaves (idiom). However brilliant you may be, you can't do anything without support from others.
牡丹雖好，終須綠葉扶持	牡丹虽好，终须绿叶扶持	mǔ dan suī hǎo , zhōng xū lǜ yè fú chí	Although the peony is beautiful, it depends entirely on help from the green leaves (idiom). However brilliant you may be, you can't do anything without support from others.
牡牛	牡牛	mù niú	bull
牡羊座	牡羊座	Mǔ yáng zuò	Aries (constellation and sign of the zodiac)/used erroneously for 白羊座
牡蠣	牡蛎	mǔ lì	oyster
牡鹿	牡鹿	mǔ lù	stag/buck
驪黃牝牡	骊黄牝牡	lí huáng pìn mǔ	a black stallion or possibly a yellow mare (idiom); don't judge by outward appearance
