猶	犹	yóu	as if/(just) like/just as/still/yet
上猶縣	上犹县	Shàng yóu xiàn	Shangyou county in Ganzhou 贛州|赣州, Jiangxi
反猶太主義	反犹太主义	fǎn Yóu tài zhǔ yì	antisemitism
困獸猶鬥	困兽犹斗	kùn shòu yóu dòu	a cornered beast will still fight (idiom)/to fight like an animal at bay
夷猶	夷犹	yí yóu	to hesitate
意猶未盡	意犹未尽	yì yóu wèi jìn	to wish to continue sth/to have not fully expressed oneself
排猶	排犹	pái yóu	to eliminate Jews/antisemitism
排猶主義	排犹主义	pái yóu zhǔ yì	antisemitism
毫不猶豫	毫不犹豫	háo bù yóu yù	without the slightest hesitation
上猶	上犹	Shàng yóu	Shangyou county in Ganzhou 贛州|赣州, Jiangxi
猶之乎	犹之乎	yóu zhī hū	just like (sth)
猶他	犹他	Yóu tā	Utah
猶他州	犹他州	Yóu tā zhōu	Utah
猶地亞	犹地亚	Yóu dì yà	Judea
猶大	犹大	Yóu dà	Judas/Judah (son of Jacob)
猶大書	犹大书	Yóu dà shū	Epistle of St Jude (in New Testament)
猶太	犹太	Yóu tài	Jew/Jewish/Judea (in Biblical Palestine)
猶太人	犹太人	Yóu tài rén	Jew
猶太復國主義	犹太复国主义	Yóu tài fù guó zhǔ yì	Zionism
猶太復國主義者	犹太复国主义者	Yóu tài fù guó zhǔ yì zhě	a Zionist
猶太教	犹太教	Yóu tài jiào	Judaism
猶太教堂	犹太教堂	Yóu tài jiào táng	synagogue
猶太會堂	犹太会堂	Yóu tài huì táng	synagogue/Jewish temple
猶太法典	犹太法典	Yóu tài fǎ diǎn	the Talmud
猶女	犹女	yóu nǚ	niece (old)
猶如	犹如	yóu rú	similar to/appearing to be
猶子	犹子	yóu zǐ	(old) brother's son or daughter/nephew
猶未為晚	犹未为晚	yóu wèi wéi wǎn	it is not too late (idiom)
猶熱	犹热	yóu rè	overheating/popular (craze)
猶疑	犹疑	yóu yí	to hesitate
猶自	犹自	yóu zì	(literary) still/yet
猶言	犹言	yóu yán	can be compared to/is the same as
猶豫	犹豫	yóu yù	to hesitate
猶豫不決	犹豫不决	yóu yù bù jué	hesitancy/indecision/to waver
猶達	犹达	Yóu dá	Jude
猶達斯	犹达斯	Yóu dá sī	Judas (name)
言猶在耳	言犹在耳	yán yóu zài ěr	words still ringing in one's ears (idiom)
記憶猶新	记忆犹新	jì yì yóu xīn	to remain fresh in one's memory (idiom)
過猶不及	过犹不及	guò yóu bù jí	too far is as bad as not enough (idiom, from the Analects)
雖敗猶榮	虽败犹荣	suī bài yóu róng	honorable even in defeat (idiom)
雖死猶榮	虽死犹荣	suī sǐ yóu róng	lit. although dead, also honored; died a glorious death
雖死猶生	虽死犹生	suī sǐ yóu shēng	lit. although dead, as if still alive (idiom); still with us in spirit
風韻猶存	风韵犹存	fēng yùn yóu cún	(of an aging woman) still attractive
