獨	独	dú	alone/independent/single/sole/only
不獨	不独	bù dú	not only
九宮格數獨	九宫格数独	jiǔ gōng gé shù dú	sudoku (puzzle game)
你走你的陽關道，我過我的獨木橋	你走你的阳关道，我过我的独木桥	nǐ zǒu nǐ de Yáng guān Dào , wǒ guò wǒ de dú mù qiáo	lit. you hit the high road, I'll cross the log bridge (idiom)/fig. you go your way, I'll go mine/you do it your way, I'll do it mine
匠心獨運	匠心独运	jiàng xīn dú yùn	original and ingenious (idiom)/to show great creativity
台獨	台独	Tái dú	Taiwan independence/(of Taiwan) to declare independence
司法獨立	司法独立	sī fǎ dú lì	judicial independence
唯獨	唯独	wéi dú	only/just (i.e. it is only that...)/all except/unique
單打獨鬥	单打独斗	dān dǎ dú dòu	to fight alone (idiom)
單根獨苗	单根独苗	dān gēn dú miáo	an only child
單獨	单独	dān dú	alone/by oneself/on one's own
單絲不成線，獨木不成林	单丝不成线，独木不成林	dān sī bù chéng xiàn , dú mù bù chéng lín	one strand does not make a thread, one tree does not make a forest (idiom)
外商獨資企業	外商独资企业	wài shāng dú zī qǐ yè	wholly foreign-owned enterprise (WFOE) (form of legal entity in China)/abbr. to 外資企業|外资企业[wài zī qǐ yè]
失獨	失独	shī dú	bereaved of one's only child
失獨家庭	失独家庭	shī dú jiā tíng	a family bereaved of its only child
孤獨	孤独	gū dú	lonely/solitary
孤獨於世	孤独于世	gū dú yú shì	alone in the world (idiom)
孤獨症	孤独症	gū dú zhèng	autism
得天獨厚	得天独厚	dé tiān dú hòu	blessed by heaven (idiom)/enjoying exceptional advantages/favored by nature
情有獨鍾	情有独钟	qíng yǒu dú zhōng	to have a special fondness (for sth)
惟獨	惟独	wéi dú	only/solely/this one alone
慎獨	慎独	shèn dú	to preserve a proper behavior in private life
戛戛獨造	戛戛独造	jiá jiá dú zào	creative/original
數獨	数独	shù dú	sudoku (puzzle game)
民賊獨夫	民贼独夫	mín zéi dú fū	tyrant and oppressor of the people (idiom); traitorous dictator
港獨	港独	Gǎng dú	Hong Kong independence
無獨有偶	无独有偶	wú dú yǒu ǒu	not alone but in pairs (idiom, usually derog.); not a unique occurrence/it's not the only case
特立獨行	特立独行	tè lì dú xíng	to be unconventional/independence of action
一枝獨秀	一枝独秀	yī zhī dú xiù	lit. only one branch of the tree is thriving (idiom)/fig. to be in a league of one's own/outstanding
獨一	独一	dú yī	only/unique
獨一無二	独一无二	dú yī wú èr	unique and unmatched (idiom); unrivalled/nothing compares with it
獨二代	独二代	dú èr dài	second generation only child
獨人秀	独人秀	dú rén xiù	one-man show
獨佔	独占	dú zhàn	to monopolize/to control/to dominate
