獅	狮	shī	lion
小獅座	小狮座	Xiǎo shī zuò	Leo Minor (constellation)
山獅	山狮	shān shī	mountain lion
河東獅	河东狮	Hé dōng shī	shrew/see also 河東獅吼|河东狮吼[Hé dōng shī hǒu]
河東獅吼	河东狮吼	Hé dōng shī hǒu	lit. the lioness from Hedong roars (idiom)/fig. refers to a shrewish wife or a henpecked husband
海獅	海狮	hǎi shī	sea lion
人頭獅身	人头狮身	rén tóu shī shēn	sphinx
獅城	狮城	Shī chéng	Lion city, nickname for Singapore 新加坡[Xīn jiā pō]
獅子	狮子	Shī zǐ	Leo (star sign)/Shihtzu township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
獅子	狮子	shī zi	lion/CL:隻|只[zhī],頭|头[tóu]
獅子山	狮子山	Shī zi shān	Sierra Leone (Tw)/Shizishan or Lion Mountain/Shizishan district of Tongling city 銅陵市|铜陵市[Tóng líng shì], Anhui
獅子山區	狮子山区	Shī zi shān qū	Shizishan district of Tongling city 銅陵市|铜陵市[Tóng líng shì], Anhui
獅子座	狮子座	Shī zi zuò	Leo (constellation and sign of the zodiac)
獅子林園	狮子林园	Shī zi Lín yuán	Lion Grove Garden in Suzhou, Jiangsu
獅子狗	狮子狗	shī zi gǒu	Pekingese/Pekinese
獅子鄉	狮子乡	Shī zǐ xiāng	Shihtzu township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
獅子頭	狮子头	shī zi tóu	lit. lion's head/pork meatballs
獅尾狒	狮尾狒	shī wěi fèi	gelada (Theropithecus gelada), Ethiopian herbivorous monkey similar to baboon/also written 吉爾達|吉尔达[jí ěr dá]
獅心王理查	狮心王理查	Shī xīn wáng Lǐ chá	Richard the Lionheart (1157-1199), King Richard I of England 1189-1199
獅泉河	狮泉河	Shī quán Hé	Sengge Tsangpo or Shiquan River in west Tibet, the upper reaches of the Indus
獅潭	狮潭	Shī tán	Shitan or Shihtan township in Miaoli county 苗栗縣|苗栗县[Miáo lì xiàn], northwest Taiwan
獅潭鄉	狮潭乡	Shī tán xiāng	Shitan or Shihtan township in Miaoli county 苗栗縣|苗栗县[Miáo lì xiàn], northwest Taiwan
獅虎獸	狮虎兽	shī hǔ shòu	liger, hybrid cross between a male lion and a tigress
獅身人面像	狮身人面像	shī shēn rén miàn xiàng	sphinx
獅頭石竹	狮头石竹	shī tóu shí zhú	grenadine/carnation/clove pink/Dianthus caryophyllus (botany)
瑞獅	瑞狮	Ruì Shī	Rui Shi, Auspicious Lions of Chinese mythology
石獅	石狮	Shí shī	Shishi county level city in Quanzhou 泉州[Quán zhōu], Fujian
石獅	石狮	shí shī	see 石獅子|石狮子[shí shī zi]
石獅子	石狮子	shí shī zi	guardian lion, a lion statue traditionally placed at the entrance of Chinese imperial palaces, imperial tombs, temples etc
石獅市	石狮市	Shí shī shì	Shishi county level city in Quanzhou 泉州[Quán zhōu], Fujian
美洲獅	美洲狮	Měi zhōu shī	cougar/mountain lion/puma
耍獅子	耍狮子	shuǎ shī zi	to perform a lion dance
舞獅	舞狮	wǔ shī	lion dance (traditional Chinese dance form)
虎獅獸	虎狮兽	hǔ shī shòu	tigon or tiglon, hybrid cross between a male tiger and a lioness
金獅獎	金狮奖	jīn shī jiǎng	Golden Lion, award at the Venice Film Festival
銀獅獎	银狮奖	yín shī jiǎng	Silver Lion, award at the Venice Film Festival
雄獅	雄狮	xióng shī	male lion
雌獅	雌狮	cí shī	lioness
雪山獅子	雪山狮子	xuě shān shī zi	Snow lion, mythological animal, a banned symbol of Tibet and Tibetan Buddhism
雪山獅子旗	雪山狮子旗	xuě shān shī zi qí	Snow lion banner, banned flag of Tibetan independence movement, featuring mythological Snow Leopard
鬆獅犬	松狮犬	sōng shī quǎn	Chow Chow (dog breed)
鷹頭獅	鹰头狮	yīng tóu shī	griffin
