豬	猪	zhū	hog/pig/swine/CL:口[kǒu],頭|头[tóu]
乳豬	乳猪	rǔ zhū	suckling pig
五花醃豬肉	五花腌猪肉	wǔ huā yān zhū ròu	streaky bacon
亥豬	亥猪	hài zhū	Year 12, year of the Boar (e.g. 2007)
人怕出名豬怕壯	人怕出名猪怕壮	rén pà chū míng zhū pà zhuàng	lit. people fear getting famous like pigs fear fattening up (for the slaughter)/fig. fame has its price
人怕出名豬怕肥	人怕出名猪怕肥	rén pà chū míng zhū pà féi	lit. people fear getting famous like pigs fear fattening up (for the slaughter)/fig. fame has its price
仔豬	仔猪	zǐ zhū	piglet
公豬	公猪	gōng zhū	boar
土豬	土猪	tǔ zhū	aardvark
子豬	子猪	zǐ zhū	variant of 仔豬|仔猪[zǐ zhū]
巴克夏豬	巴克夏猪	Bā kè xià zhū	Berkshire pig/Berkshire swine
時間是把殺豬刀	时间是把杀猪刀	shí jiān shì bǎ shā zhū dāo	lit. time is a butcher's knife/fig. time marches on, relentless and unforgiving/nothing gold can stay
松露豬	松露猪	sōng lù zhū	truffle hog
架子豬	架子猪	jià zi zhū	feeder pig
死豬不怕開水燙	死猪不怕开水烫	sǐ zhū bù pà kāi shuǐ tàng	lit. a dead pig doesn't fear scalding water (idiom)/fig. to be unaffected (by sth)/undaunted
殺豬宰羊	杀猪宰羊	shā zhū zǎi yáng	to kill the pigs and slaughter the sheep (idiom)
殼郎豬	壳郎猪	ké lang zhū	(coll.) feeder pig
毛豬	毛猪	máo zhū	live pig
江豬	江猪	jiāng zhū	Chinese river dolphin, Lipotes vexillifer
浸豬籠	浸猪笼	jìn zhū lóng	to drown sb in a wicker basket, a form of 沉潭[chén tán]
煎豬扒	煎猪扒	jiān zhū bā	pork steak
疣豬	疣猪	yóu zhū	warthog
荷蘭豬	荷兰猪	Hé lán zhū	guinea pig
虎咬豬	虎咬猪	hǔ yǎo zhū	see 刈包[guà bāo]
蠢豬	蠢猪	chǔn zhū	stupid swine/idiot
豪豬	豪猪	háo zhū	porcupine
不怕神一樣的對手，就怕豬一樣的隊友	不怕神一样的对手，就怕猪一样的队友	bù pà shén yī yàng de duì shǒu , jiù pà zhū yī yàng de duì yǒu	a boneheaded teammate can do you more harm than the most formidable opponent (idiom)
豬下水	猪下水	zhū xià shuǐ	pig offal
豬仔包	猪仔包	zhū zǎi bāo	a French-style bread, similar to a small baguette, commonly seen in Hong Kong and Macao
豬仔館	猪仔馆	zhū zǎi guǎn	pigsty
豬倌	猪倌	zhū guān	swineherd
豬八戒	猪八戒	Zhū Bā jiè	Zhu Bajie, character in Journey to the West 西遊記|西游记, with pig-like characteristics and armed with a muckrake/Pigsy in Arthur Waley's translation
豬圈	猪圈	zhū juàn	pigsty (lit. and fig.)
豬場	猪场	zhū chǎng	piggery
豬婆龍	猪婆龙	zhū pó lóng	Chinese alligator (Alligator sinensis)
豬尾巴	猪尾巴	zhū wěi ba	pig's tail (meat)
豬年	猪年	zhū nián	Year of the Boar (e.g. 2007)
豬悟能	猪悟能	Zhū Wù néng	Zhu Bajie 豬八戒|猪八戒[Zhū Bā jiè] or Zhu Wuneng, Pigsy or Pig (in Journey to the West)
豬扒	猪扒	zhū pá	see 豬排|猪排[zhū pái]
豬拱菌	猪拱菌	zhū gǒng jūn	Chinese truffle
豬排	猪排	zhū pái	pork ribs/pork chop
豬朋狗友	猪朋狗友	zhū péng gǒu yǒu	dissolute companions/disreputable comrades
豬柳	猪柳	zhū liǔ	pork fillet
豬水泡病	猪水泡病	zhū shuǐ pào bìng	swine vesicular disease (SVD)
豬油	猪油	zhū yóu	lard
豬流感	猪流感	zhū liú gǎn	swine influenza/swine flu/influenza A (H1N1)
豬流感病毒	猪流感病毒	zhū liú gǎn bìng dú	swine influenza virus (SIV)
豬灣	猪湾	Zhū Wān	Bay of Pigs (Cuba)
豬狗	猪狗	zhū gǒu	pig-dog (intended as insult)/Schweinhund
豬狗不如	猪狗不如	zhū gǒu bù rú	worse than a dog or pig/lower than low
豬瘟	猪瘟	zhū wēn	swine fever
豬窠	猪窠	zhū kē	pigsty
豬籠	猪笼	zhū lóng	cylindrical bamboo or wire frame used to constrain a pig during transport
豬籠草	猪笼草	zhū lóng cǎo	tropical pitcher plant (i.e. genus Nepenthes)
豬精	猪精	zhū jīng	pork bouillon powder/(neologism) (slang) a person who, like a pig, is fat and ugly and given to histrionics
豬肉	猪肉	zhū ròu	pork
豬苓	猪苓	zhū líng	poria mushroom (Polyporus umbellatus)
豬草	猪草	zhū cǎo	ragweed (Ambrosia artemisiifolia)/fishwort (Houttuynia cordata)
豬蹄	猪蹄	zhū tí	pig trotters
豬鏈球菌	猪链球菌	zhū liàn qiú jūn	pig streptococcus/streptococcus suis
豬鏈球菌病	猪链球菌病	zhū liàn qiú jūn bìng	streptococcus suis (swine-borne disease)
豬頭	猪头	zhū tóu	pig head/(coll.) fool/jerk
醃豬肉	腌猪肉	yān zhū ròu	bacon/cured pork
野豬	野猪	yě zhū	wild boar (Sus scrofa)/CL:頭|头[tóu]
鹹豬手	咸猪手	xián zhū shǒu	pervert (esp. one who gropes women in public)
