獎	奖	jiǎng	prize/award/encouragement/CL:個|个[gè]
中獎	中奖	zhòng jiǎng	to win a prize/a successful gamble
優異獎	优异奖	yōu yì jiǎng	excellence award/merit award
嘉獎	嘉奖	jiā jiǎng	to award/commendation/citation
圖靈獎	图灵奖	Tú líng jiǎng	Turing Award
大獎	大奖	dà jiǎng	prize/award
奧斯卡金像獎	奥斯卡金像奖	Ào sī kǎ jīn xiàng jiǎng	Academy Awards/Oscars/CL:屆|届[jiè]
安慰獎	安慰奖	ān wèi jiǎng	consolation prize/booby prize
年終獎	年终奖	nián zhōng jiǎng	year-end bonus
幸運抽獎	幸运抽奖	xìng yùn chōu jiǎng	lucky draw/lottery
得獎	得奖	dé jiǎng	to win a prize
慈善抽獎	慈善抽奖	cí shàn chōu jiǎng	a raffle (for charity)
抽獎	抽奖	chōu jiǎng	to draw a prize/a lottery/a raffle
授獎	授奖	shòu jiǎng	to award a prize
搖獎	摇奖	yáo jiǎng	to draw the winning ticket (in a lottery)
普利策獎	普利策奖	Pǔ lì cè jiǎng	Pulitzer Prize
普立茲獎	普立兹奖	Pǔ lì zī Jiǎng	Pulitzer Prize (Tw)
書卷獎	书卷奖	shū juàn jiǎng	presidential award (received by university students in Taiwan for academic excellence)
會獎旅遊	会奖旅游	huì jiǎng lǚ yóu	MICE tourism (acronym for "meetings, incentives, conventions and exhibitions"), aka "meetings industry" or "events industry"
有勞得獎	有劳得奖	yǒu láo dé jiǎng	a good dog deserves a bone (idiom)
末名獎品	末名奖品	mò míng jiǎng pǐn	booby prize/wooden spoon
格萊美獎	格莱美奖	Gé lái měi jiǎng	Grammy Award (US prize for music recording)/also written 葛萊美獎|葛莱美奖
沃爾夫獎	沃尔夫奖	wò ěr fū jiǎng	the Wolf prize (for science and arts)
一等獎	一等奖	yī děng jiǎng	first prize
獎券	奖券	jiǎng quàn	raffle or lottery ticket
獎勵	奖励	jiǎng lì	to reward/reward (as encouragement)
獎勵旅行	奖励旅行	jiǎng lì lǚ xíng	incentive travel
獎勵旅遊	奖励旅游	jiǎng lì lǚ yóu	incentive travel
獎品	奖品	jiǎng pǐn	award/prize
獎學金	奖学金	jiǎng xué jīn	scholarship/CL:筆|笔[bǐ]
獎得主	奖得主	jiǎng dé zhǔ	recipient of an award/prize winner
獎懲	奖惩	jiǎng chéng	rewards and penalties
獎挹	奖挹	jiǎng yì	to reward and promote
獎掖	奖掖	jiǎng yè	to reward and promote
獎杯	奖杯	jiǎng bēi	trophy cup
獎池	奖池	jiǎng chí	(gambling) prize pool/jackpot
獎牌	奖牌	jiǎng pái	medal (awarded as a prize)
獎牌榜	奖牌榜	jiǎng pái bǎng	medal table/tally of trophies/list of prizewinners
獎狀	奖状	jiǎng zhuàng	prize certificate/certificate of merit
獎章	奖章	jiǎng zhāng	medal/CL:枚[méi]
獎賞	奖赏	jiǎng shǎng	reward/prize/award
獎酬	奖酬	jiǎng chóu	incentive/reward
獎金	奖金	jiǎng jīn	premium/award money/bonus
獎項	奖项	jiǎng xiàng	award/prize/CL:項|项[xiàng]
獲獎	获奖	huò jiǎng	to win an award
發獎	发奖	fā jiǎng	to award a prize
百花獎	百花奖	bǎi huā jiǎng	Hundred flowers film prize, awarded since 1962
穫獎者	获奖者	huò jiǎng zhě	prizewinner
簽約獎金	签约奖金	qiān yuē jiǎng jīn	signing bonus/sign-on bonus
紀念獎	纪念奖	jì niàn jiǎng	trophy
艾美獎	艾美奖	Ài měi Jiǎng	Emmy Award
茅盾文學獎	茅盾文学奖	Máo Dùn Wén xué jiǎng	Mao Dun Literature Prize, PRC prize for novel writing, awarded since 1982
菲爾茲獎	菲尔兹奖	Fēi ěr zī Jiǎng	Fields Medal (for mathematics, approximate equivalent to Nobel Prize)
葛萊美獎	葛莱美奖	Gě lái měi jiǎng	Grammy Award (US prize for music recording)/also written 格萊美獎|格莱美奖
薩克洛夫獎	萨克洛夫奖	Sà kè luò fū Jiǎng	Sakharov Prize for Freedom of Thought, awarded by the European Parliament annually since 1988
薩哈羅夫人權獎	萨哈罗夫人权奖	Sà hǎ luó fū Rén quán jiǎng	the EU Sakharov Human Rights Prize
薩哈羅夫獎	萨哈罗夫奖	Sà hǎ luó fū jiǎng	Sakharov Prize for Freedom of Thought (awarded by EU since 1988)
薩哈諾夫人權獎	萨哈诺夫人权奖	sà hǎ nuò fū rén quán jiǎng	the EU Sakharov prize for human rights
評審團特別獎	评审团特别奖	píng shěn tuán tè bié jiǎng	Special Jury Prize
評獎	评奖	píng jiǎng	to determine the recipient of an award through discussion
誇獎	夸奖	kuā jiǎng	to praise/to applaud/to compliment
諾獎	诺奖	Nuò jiǎng	Nobel Prize/abbr. for 諾貝爾獎|诺贝尔奖[Nuò bèi ěr Jiǎng]
諾貝爾和平獎	诺贝尔和平奖	Nuò bèi ěr Hé píng jiǎng	Nobel Peace Prize
諾貝爾文學獎	诺贝尔文学奖	Nuò bèi ěr Wén xué Jiǎng	Nobel Prize in Literature
諾貝爾物理學獎	诺贝尔物理学奖	Nuò bèi ěr Wù lǐ xué Jiǎng	Nobel Prize in Physics
諾貝爾獎	诺贝尔奖	Nuò bèi ěr Jiǎng	Nobel Prize
謬獎	谬奖	miù jiǎng	to overpraise/You praise me too much!
過獎	过奖	guò jiǎng	to overpraise/to flatter
金曲獎	金曲奖	Jīn qǔ jiǎng	Golden Melody Awards
金熊獎	金熊奖	jīn xióng jiǎng	Golden Bear, award at the Berlin International Film Festival
金獅獎	金狮奖	jīn shī jiǎng	Golden Lion, award at the Venice Film Festival
金獎	金奖	jīn jiǎng	gold medal/first prize
金球獎	金球奖	Jīn qiú jiǎng	Golden Globe Award
金馬獎	金马奖	Jīn mǎ jiǎng	Golden Horse Film Festival and Awards
銀熊獎	银熊奖	yín xióng jiǎng	Silver Bear, award at the Berlin International Film Festival
銀獅獎	银狮奖	yín shī jiǎng	Silver Lion, award at the Venice Film Festival
銀獎	银奖	yín jiǎng	silver medal
銀質獎	银质奖	yín zhì jiǎng	silver medal
開獎	开奖	kāi jiǎng	to announce the winners in a lottery
電影獎	电影奖	diàn yǐng jiǎng	film award
頒獎	颁奖	bān jiǎng	to confer an award
領獎	领奖	lǐng jiǎng	to receive an award
領獎臺	领奖台	lǐng jiǎng tái	(winner's) podium
頭獎	头奖	tóu jiǎng	first prize
