獸	兽	shòu	beast/animal/beastly/bestial
人面獸心	人面兽心	rén miàn shòu xīn	human face, beast's heart (idiom); two-faced/malicious and duplicitous
作鳥獸散	作鸟兽散	zuò niǎo shòu sàn	lit. scatter like birds and beasts (idiom)/fig. to head off in various directions/to flee helter-skelter
十大神獸	十大神兽	shí dà shén shòu	the Baidu 10 mythical creatures (a set of hoax animals and puns linked to PRC Internet censorship)
困獸猶鬥	困兽犹斗	kùn shòu yóu dòu	a cornered beast will still fight (idiom)/to fight like an animal at bay
如鳥獸散	如鸟兽散	rú niǎo shòu sàn	to scatter like birds and beasts (idiom)/to flee in all directions
害獸	害兽	hài shòu	vermin/harmful animal
山西獸	山西兽	Shān xī shòu	Shansitherium fuguensis (early giraffe)
巨獸	巨兽	jù shòu	giant creature/huge animal
幼獸	幼兽	yòu shòu	cub
怪獸	怪兽	guài shòu	rare animal/mythical animal/monster
洪水猛獸	洪水猛兽	hóng shuǐ měng shòu	lit. severe floods and fierce beasts (idiom)/fig. great scourges/extremely dangerous or threatening things
滴水嘴獸	滴水嘴兽	dī shuǐ zuǐ shòu	gargoyle (architecture)
猛獸	猛兽	měng shòu	ferocious beast/fierce animal
獅虎獸	狮虎兽	shī hǔ shòu	liger, hybrid cross between a male lion and a tigress
獨角獸	独角兽	dú jiǎo shòu	unicorn
一逞獸欲	一逞兽欲	yī chěng shòu yù	to give way to one's beastly lust
獸力車	兽力车	shòu lì chē	animal-drawn vehicle/carriage
獸姦	兽奸	shòu jiān	bestiality
獸性	兽性	shòu xìng	brutal
獸慾	兽欲	shòu yù	beastly desire
獸疫	兽疫	shòu yì	epizootic
獸病理學	兽病理学	shòu bìng lǐ xué	veterinary pathology
獸皮	兽皮	shòu pí	animal skin/hide
獸穴	兽穴	shòu xué	animal den
獸腳亞目	兽脚亚目	shòu jiǎo yà mù	suborder Theropoda (beast-footed dinosaur group) within order Saurischia containing carnivorous dinosaurs
獸腳類恐龍	兽脚类恐龙	shòu jiǎo lèi kǒng lóng	theropod (beast-footed dinosaur group)/suborder Theropoda within order Saurischia containing carnivorous dinosaurs
獸藥	兽药	shòu yào	veterinary medicines
獸行	兽行	shòu xíng	brutal act/bestiality
獸術	兽术	shòu shù	animal training/skill with animals/shoushu - "Animal skill" or "Beast-fist" - Martial Art (esp. fictional)
獸醫	兽医	shòu yī	veterinarian/veterinary surgeon/vet
獸醫學	兽医学	shòu yī xué	veterinary medicine/veterinary science
獸類	兽类	shòu lèi	animals
率獸食人	率兽食人	shuài shòu shí rén	lit. to lead beasts to eat the people (idiom); fig. tyrannical government oppresses the people
珍禽奇獸	珍禽奇兽	zhēn qín qí shòu	rare animals and birds
瑞獸	瑞兽	ruì shòu	auspicious animal (such as the dragon)
百獸	百兽	bǎi shòu	all creatures/every kind of animal
神獸	神兽	shén shòu	mythological animal
禽獸	禽兽	qín shòu	birds and animals/creature/beast (brutal person)
禽獸不如	禽兽不如	qín shòu bù rú	worse than a beast/to behave immorally
羅馬鬥獸場	罗马斗兽场	Luó mǎ dòu shòu chǎng	Colosseum (Rome)
膃肭獸	腽肭兽	wà nà shòu	fur seal/Callorhinus ursinus Linnaeus
草木鳥獸	草木鸟兽	cǎo mù niǎo shòu	flora and fauna
虎獅獸	虎狮兽	hǔ shī shòu	tigon or tiglon, hybrid cross between a male tiger and a lioness
衣冠禽獸	衣冠禽兽	yī guān qín shòu	lit. dressed up animal (idiom)/fig. immoral and despicable person
訓獸術	训兽术	xùn shòu shù	animal training/taming wild beast (e.g. lion-taming)
走獸	走兽	zǒu shòu	(four-footed) animal/beast
野獸	野兽	yě shòu	beast/wild animal
雄獸	雄兽	xióng shòu	male animal
飛禽走獸	飞禽走兽	fēi qín zǒu shòu	birds and animals/the beasts of the field and the birds of the air
食蟻獸	食蚁兽	shí yǐ shòu	ant-eater (several different species)
馭獸術	驭兽术	yù shòu shù	animal training/taming wild beast (e.g. lion-taming)
馱獸	驮兽	tuó shòu	beast of burden
魔獸世界	魔兽世界	Mó shòu Shì jiè	World of Warcraft (video game)
鳥獸	鸟兽	niǎo shòu	birds and beasts/fauna
鳥獸散	鸟兽散	niǎo shòu sàn	to scatter like birds and beasts
鴨嘴獸	鸭嘴兽	yā zuǐ shòu	platypus
