瑪	玛	mǎ	agate/cornelian
伽瑪射線	伽玛射线	jiā mǎ shè xiàn	gamma ray (loanword)
克拉瑪依	克拉玛依	Kè lā mǎ yī	Qaramay shehiri (Karamay city) or Kèlāmǎyī prefecture-level city in Xinjiang
克拉瑪依區	克拉玛依区	Kè lā mǎ yī qū	Karamay district (Uighur: Qaramay Rayoni) of Qaramay City, Xinjiang
克拉瑪依市	克拉玛依市	Kè lā mǎ yī shì	Qaramay shehiri (Karamay city) or Kèlāmǎyī prefecture-level city in Xinjiang
利瑪竇	利玛窦	Lì Mǎ dòu	Matteo Ricci (1552-1610), Jesuit missionary and translator in Ming China
呼瑪	呼玛	Hū mǎ	Huma county in Daxing'anling prefecture 大興安嶺地區|大兴安岭地区, Heilongjiang
呼瑪縣	呼玛县	Hū mǎ xiàn	Huma county in Daxing'anling prefecture 大興安嶺地區|大兴安岭地区, Heilongjiang
哈伯瑪斯	哈伯玛斯	Hā bó mǎ sī	Jürgen Habermas (1929-), German social philosopher
噶瑪蘭	噶玛兰	Gá mǎ lán	Kavalan, one of the indigenous peoples of Taiwan/old name of Yilan 宜蘭|宜兰 county, Taiwan/Kavalan, a brand of single malt whisky from Taiwan
噶瑪蘭族	噶玛兰族	Gá mǎ lán zú	Kavalan, one of the indigenous peoples of Taiwan
塔克拉瑪干沙漠	塔克拉玛干沙漠	Tǎ kè lā mǎ gān Shā mò	Taklamakan Desert, Xinjiang
塔瑪爾	塔玛尔	Tǎ mǎ ěr	Tamar (name)
她瑪	她玛	Tā mǎ	Tamir (mother of Perez and Zerah)
威妥瑪	威妥玛	Wēi Tuǒ mǎ	Sir Thomas Francis Wade (1818-1895), British diplomat and sinologist, originator of the Wade-Giles Chinese romanization system
威妥瑪拼法	威妥玛拼法	Wēi Tuǒ mǎ pīn fǎ	Wade-Giles system (romanization of Chinese)
威妥瑪拼音	威妥玛拼音	Wēi Tuǒ mǎ pīn yīn	Wade-Giles system (romanization of Chinese)
威瑪	威玛	Wēi mǎ	Weimar (German city)
威瑪共和國	威玛共和国	Wēi mǎ Gòng hé guó	Weimar Republic (German Reich, 1919-1933)
威瑪拼法	威玛拼法	Wēi mǎ pīn fǎ	Wade-Giles system (romanization of Chinese)
威瑪拼音	威玛拼音	Wēi mǎ pīn yīn	Wade-Giles system (romanization of Chinese)
尼瑪	尼玛	Ní mǎ	Nyima county, Tibetan: Nyi ma rdzong in Nagchu prefecture 那曲地區|那曲地区[Nà qǔ dì qū], central Tibet
尼瑪縣	尼玛县	Ní mǎ xiàn	Nyima county, Tibetan: Nyi ma rdzong in Nagchu prefecture 那曲地區|那曲地区[Nà qǔ dì qū], central Tibet
愛瑪	爱玛	Ài mǎ	Emma (name)
愛瑪·沃特森	爱玛·沃特森	Ài mǎ · Wò tè sēn	Emma Watson (1990-), British actress
所多瑪	所多玛	Suǒ duō mǎ	Sodom
所多瑪與蛾摩拉	所多玛与蛾摩拉	Suǒ duō mǎ yǔ É mó lā	Sodom and Gomorrah
新藝拉瑪	新艺拉玛	Xīn yì lā mǎ	Cinerama
杜篤瑪	杜笃玛	Dù dǔ mǎ	Dodoma, capital of Tanzania (Tw)
沃爾瑪	沃尔玛	Wò ěr mǎ	Wal-Mart, Walmart (retailer)
沙威瑪	沙威玛	shā wēi mǎ	shawarma, Middle Eastern sandwich wrap (loanword)
沙琪瑪	沙琪玛	shā qí mǎ	sachima, sweet (Manchu) pastry made of fried strips of dough coated with syrup, pressed together, then cut into blocks
沙瓦瑪	沙瓦玛	shā wǎ mǎ	shawarma, Middle Eastern sandwich wrap (loanword)
法蒂瑪	法蒂玛	Fǎ dì mǎ	Fatimah (name)
泰姬瑪哈陵	泰姬玛哈陵	Tài jī Mǎ hā Líng	Taj Mahal/abbr. to 泰姬陵[Tài jī líng]
珠穆朗瑪	珠穆朗玛	Zhū mù lǎng mǎ	Mt Chomolungma or Qomolangma (Tibetan)/Mt Everest/Nepalese: Sagarmatha
珠穆朗瑪峰	珠穆朗玛峰	Zhū mù lǎng mǎ Fēng	Mt Chomolungma or Qomolangma (Tibetan)/Mt Everest/Nepalese: Sagarmatha
班瑪	班玛	Bān mǎ	Baima or Banma county (Tibetan: pad ma rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
班瑪縣	班玛县	Bān mǎ xiàn	Baima or Banma county (Tibetan: pad ma rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
伊瑪目	伊玛目	yī mǎ mù	imam (Islam) (loanword)
瑪仁糖	玛仁糖	mǎ rén táng	traditional Xinjiang sweet walnut cake
瑪俐歐	玛俐欧	Mǎ lì ōu	Mario (Nintendo video game character)/also transcribed variously as 馬里奧|马里奥[Mǎ lǐ ào], 馬力歐|马力欧[Mǎ lì ōu] etc
瑪克辛	玛克辛	Mǎ kè xīn	Maxine (name)
瑪利亞	玛利亚	Mǎ lì yà	Mary (biblical name)
瑪卡	玛卡	mǎ kǎ	maca (Lepidium meyenii)
瑪多	玛多	Mǎ duō	Madoi or Maduo county (Tibetan: rma stod rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
瑪多縣	玛多县	Mǎ duō xiàn	Madoi or Maduo county (Tibetan: rma stod rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
瑪奇朵	玛奇朵	mǎ qí duǒ	macchiato (loanword)/latte macchiato (coffee)
瑪家	玛家	Mǎ jiā	Machia township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
瑪家鄉	玛家乡	Mǎ jiā xiāng	Machia township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
