現	现	xiàn	to appear/present/now/existing/current
乍現	乍现	zhà xiàn	to appear suddenly
二十年目睹之怪現狀	二十年目睹之怪现状	Èr shí Nián Mù dǔ zhī Guài Xiàn zhuàng	The Strange State of the World Witnessed Over 20 Years, novel by late Qing novelist Wu Jianren 吳趼人|吴趼人[Wú Jiǎn rén]
付現	付现	fù xiàn	to pay in cash
兌現	兑现	duì xiàn	(of a check etc) to cash/to honor a commitment
再出現	再出现	zài chū xiàn	to reappear
再屠現金	再屠现金	zài tú xiàn jīn	cash in transit (accountancy)
再現	再现	zài xiàn	to recreate/to reconstruct (a historical relic)
凸現	凸现	tū xiàn	to come to prominence/to appear clearly/to stick out
出現	出现	chū xiàn	to appear/to arise/to emerge/to show up
到現在	到现在	dào xiàn zài	up until now/to date
厄爾尼諾現象	厄尔尼诺现象	è ěr ní nuò xiàn xiàng	El Niño effect, equatorial climatic variation over the Pacific Ocean
取現	取现	qǔ xiàn	to withdraw money
呈現	呈现	chéng xiàn	to appear/to emerge/to present (a certain appearance)/to demonstrate
四個現代化	四个现代化	sì ge xiàn dài huà	Deng Xiaoping's four modernizations practiced from the 1980s (possibly planned together with Zhou Enlai), namely: modernization of industry, agriculture, national defense and science and technology/abbr. to 四化
國防現代化	国防现代化	guó fáng xiàn dài huà	modernization of national defense, one of Deng Xiaoping's Four Modernizations
奉現	奉现	fèng xiàn	offering
奔現	奔现	bēn xiàn	(neologism) to meet sb in real life after forming a relationship online
套現	套现	tào xiàn	to convert (an asset) into cash/to cash out
安於現狀	安于现状	ān yú xiàn zhuàng	to take things as they are (idiom)/to leave a situation as it is/to be happy with the status quo
官場現形記	官场现形记	Guān chǎng Xiàn xíng Jì	Observations on the Current State of Officialdom, late Qing novel by Li Baojia 李寶嘉|李宝嘉[Lǐ Bǎo jià]
實現	实现	shí xiàn	to achieve/to implement/to realize/to bring about
展現	展现	zhǎn xiàn	to come out/to emerge/to reveal/to display
工業現代化	工业现代化	gōng yè xiàn dài huà	modernization of industry, one of Deng Xiaoping's Four Modernizations
庫存現金	库存现金	kù cún xiàn jīn	cash in hand
後現代主義	后现代主义	hòu xiàn dài zhǔ yì	postmodernism
復現	复现	fù xiàn	to reappear/to persist (in memory)
忽隱忽現	忽隐忽现	hū yǐn hū xiàn	intermittent/now you see it, now you don't
愛現	爱现	ài xiàn	(coll.) to enjoy showing off
所發現	所发现	suǒ fā xiàn	discovered/what one discovers
手頭現金	手头现金	shǒu tóu xiàn jīn	cash in hand
折現	折现	zhé xiàn	to discount
折現率	折现率	zhé xiàn lǜ	discount rate
提現	提现	tí xiàn	to withdraw funds
時隱時現	时隐时现	shí yǐn shí xiàn	appearing and disappearing (idiom)/intermittently visible
曇花一現	昙花一现	tán huā yī xiàn	lit. the night-blooming cactus shows once/flash in the pan (idiom)/short-lived
未折現	未折现	wèi zhé xiàn	undiscounted/full price
東現漢紀	东现汉纪	Dōng xiàn hàn jì	Records of the Eastern Han, model for History of Later Han 後漢書|后汉书
活靈活現	活灵活现	huó líng huó xiàn	living spirit, living image (idiom); true to life/vivid and realistic
活龍活現	活龙活现	huó lóng huó xiàn	living spirit, living image (idiom); true to life/vivid and realistic
浮現	浮现	fú xiàn	to appear before one's eyes/to come into view/to float into appearance/to come back (of images from the past)/to emerge/it emerges/it occurs (to me that..)
淨現值	净现值	jìng xiàn zhí	net present value (NPV)
湧現	涌现	yǒng xiàn	to emerge in large numbers/to spring up/to emerge prominently
犯罪現場	犯罪现场	fàn zuì xiàn chǎng	scene of the crime
丟人現眼	丢人现眼	diū rén xiàn yǎn	to make an exhibition of oneself/to be a disgrace
現下	现下	xiàn xià	now/at this moment
現世	现世	xiàn shì	this life/to lose face/to be disgraced
現世報	现世报	xiàn shì bào	karmic retribution within one's lifetime
現世寶	现世宝	xiàn shì bǎo	good-for-nothing/fool
現今	现今	xiàn jīn	now/nowadays/modern
現付	现付	xiàn fù	to pay on the spot
現代	现代	Xiàn dài	Hyundai, South Korean company
現代	现代	xiàn dài	modern times/modern age/modern era
現代五項	现代五项	xiàn dài wǔ xiàng	modern pentathlon
現代人	现代人	xiàn dài rén	modern man/Homo sapiens
現代化	现代化	xiàn dài huà	modernization/CL:個|个[gè]
現代史	现代史	xiàn dài shǐ	modern history
現代形式	现代形式	xiàn dài xíng shì	the modern form
現代性	现代性	xiàn dài xìng	modernity
現代新儒家	现代新儒家	Xiàn dài Xīn Rú jiā	Modern New Confucianism/see also 新儒家[Xīn Rú jiā]
現代派	现代派	xiàn dài pài	modernist faction/modernists
現代舞	现代舞	xiàn dài wǔ	modern dance
現代集團	现代集团	Xiàn dài Jí tuán	Hyundai, the Korean corporation
現代音樂	现代音乐	xiàn dài yīn yuè	modern music/contemporary music
現任	现任	xiàn rèn	to occupy a post currently/current (president etc)/incumbent/(coll.) current boyfriend (girlfriend, spouse)
現值	现值	xiàn zhí	present value
現做	现做	xiàn zuò	to make (food) on the spot/freshly-made
現在	现在	xiàn zài	now/at present/at the moment/modern/current/nowadays
現在分詞	现在分词	xiàn zài fēn cí	present participle (in English grammar)
現在式	现在式	xiàn zài shì	present tense
現在是過去鑰匙	现在是过去钥匙	xiàn zài shì guò qu yào shi	Today is the key to the past.
現場	现场	xiàn chǎng	the scene (of a crime, accident etc)/(on) the spot/(at) the site
現場報道	现场报道	xiàn chǎng bào dào	on-the-spot report
現場投注	现场投注	xiàn chǎng tóu zhù	live betting
現場採訪	现场采访	xiàn chǎng cǎi fǎng	on-the-spot interview
現場會	现场会	xiàn chǎng huì	on-the-spot meeting
現場會議	现场会议	xiàn chǎng huì yì	on-the-spot meeting
現場直播	现场直播	xiàn chǎng zhí bō	on-the-spot live broadcast
現場視察	现场视察	xiàn chǎng shì chá	on-site inspection
現存	现存	xiàn cún	extant/existent/in stock
現學現用	现学现用	xiàn xué xiàn yòng	to immediately put into practice something one has just learned (idiom)
現實	现实	xiàn shí	reality/actuality/real/actual/realistic/pragmatic/materialistic/self-interested
現實主義	现实主义	xiàn shí zhǔ yì	realism
現實情況	现实情况	xiàn shí qíng kuàng	current state/current situation
現年	现年	xiàn nián	(a person's) current age
現形	现形	xiàn xíng	to become visible/to appear/to manifest one's true nature
現役	现役	xiàn yì	(military) active duty
現成	现成	xiàn chéng	ready-made/readily available
現成話	现成话	xiàn chéng huà	ready-made phrase/unhelpful comment
現房	现房	xiàn fáng	finished apartment/ready apartment
現抓	现抓	xiàn zhuā	to improvise
現時	现时	xiàn shí	current
現有	现有	xiàn yǒu	currently existing/currently available
現款	现款	xiàn kuǎn	cash
現況	现况	xiàn kuàng	the current situation
現炒現賣	现炒现卖	xiàn chǎo xiàn mài	lit. to fry and sell on the spot/fig. (of fresh graduates) to apply the still-fresh knowledge gained in school
現烤	现烤	xiàn kǎo	freshly baked/freshly roasted
現狀	现状	xiàn zhuàng	current situation
