琳	琳	lín	gem
傑奎琳·肯尼迪	杰奎琳·肯尼迪	Jié kuí lín · Kěn ní dí	Jacqueline Onassis Kennedy (1929-1994)
凱瑟琳	凯瑟琳	Kǎi sè lín	Catherine (name)/Katherine
埃琳娜	埃琳娜	Āi lín nà	Elena (name)
楊丞琳	杨丞琳	Yáng Chéng lín	Rainie Yang (1984-), Taiwanese entertainer
滿目琳琅	满目琳琅	mǎn mù lín láng	lit. to fill one's eyes with glittering jewels/a literary masterpiece or sb of extraordinary talent (idiom)
傑奎琳	杰奎琳	Jié kuí lín	Jacqueline (name)
琳·戴維斯	琳·戴维斯	Lín · Dài wéi sī	Lynn E. Davis, US academic and arms control expert, Under-secretary at US State Department 1993-1997
琳瑯	琳琅	lín láng	glittering jewels
琳瑯滿目	琳琅满目	lín láng mǎn mù	glittering jewels to delight the eye (idiom)/fig. a dazzling lineup
瑪德琳	玛德琳	Mǎ dé lín	Madeleine (name)
瑪德琳	玛德琳	mǎ dé lín	madeleine (French cake)
羅琳	罗琳	Luó lín	Rowling (name)/Joanne Kathleen Rowling (1965-), author of the Harry Potter series of novels
聖凱瑟琳	圣凯瑟琳	Shèng Kǎi sè lín	Saint Catherine
葉卡捷琳堡	叶卡捷琳堡	Yè kǎ jié lín bǎo	Yekaterinburg (Russian city, also known as Ekaterinburg or Sverdlovsk)
葉卡捷琳娜	叶卡捷琳娜	Yè kǎ jié lín nà	Yekaterina or Ekaterina (name)/Catherine the Great or Catherine the Second (1684-1727), Empress of Russia
葉卡特琳娜堡	叶卡特琳娜堡	Yè kǎ tè lín nà bǎo	Ekaterinaburg or Ekaterinburg (formerly Sverdlovsk), Russian town on the Ural mountains
許仲琳	许仲琳	Xǔ Zhòng lín	Xu Zhonglin or Chen Zhonglin 陳仲琳|陈仲琳 (c. 1567-c. 1620), Ming novelist, to whom the fantasy novel Investure of the Gods 封神演義|封神演义 is attributed, together with Lu Xixing 陸西星|陆西星
關之琳	关之琳	Guān Zhī lín	Rosamund Kwan (1962-), Hong Kong actress
陳仲琳	陈仲琳	Chén Zhòng lín	Xu Zhonglin or Xu Zhonglin 許仲琳|许仲琳 (c. 1567-c. 1620), Ming novelist, to whom the fantasy novel Investure of the Gods 封神演義|封神演义 is attributed, together with Lu Xixing 陸西星|陆西星
