瑜	瑜	yú	excellence/luster of gems
周瑜	周瑜	Zhōu Yú	Zhou Yu or Chou Yü (175-210), famous general of the southern Wu kingdom and victor of the battle of Redcliff/in Romance of the Three Kingdoms, absolutely no match for Zhuge Liang
周瑜打黃蓋	周瑜打黄盖	Zhōu Yú dǎ Huáng Gài	fig. with the connivance of both sides/fig. by mutual consent/cf Wu patriot Huang Gai submits to mock beating at the hands of General Zhou Yu to deceive Cao Cao 曹操 before the 208 battle of Redcliff 赤壁之戰|赤壁之战[Chì bì zhī zhàn]
宋楚瑜	宋楚瑜	Sòng Chǔ yú	James Soong (1942-), Taiwanese politician expelled from Guomindang in 2000 when he founded People First Party 親民黨|亲民党
瑕不掩瑜	瑕不掩瑜	xiá bù yǎn yú	lit. a blemish does not obscure jade's luster/the pros outweigh the cons (idiom)
一時瑜亮	一时瑜亮	yī shí Yú Liàng	two remarkable persons living at the same period (as 周瑜[Zhōu Yú] and 諸葛亮|诸葛亮[Zhū gě Liàng])
瑜伽	瑜伽	yú jiā	yoga (loanword)
瑜伽宗	瑜伽宗	Yú jiā zōng	see 唯識宗|唯识宗[Wéi shí zōng]
瑜伽行派	瑜伽行派	Yú jiā Xíng pài	see 唯識宗|唯识宗[Wéi shí zōng]
瑜珈	瑜珈	yú jiā	variant of 瑜伽[yú jiā]/yoga
瑜迦	瑜迦	yú jiā	yoga (loanword)
韓國瑜	韩国瑜	Hán Guó yú	Daniel Han Kuo-yu (1957-), Taiwanese KMT politician, mayor of Kaohsiung since 2018
