瑣	琐	suǒ	fragmentary/trifling
猥瑣	猥琐	wěi suǒ	wretched (esp. appearance)/vulgar
煩瑣	烦琐	fán suǒ	tedious/convoluted/fiddly/pedantic
瑣事	琐事	suǒ shì	trifle
瑣屑	琐屑	suǒ xiè	trivial matters/petty things
瑣碎	琐碎	suǒ suì	trifling/trivial/tedious/inconsequential
瑣細	琐细	suǒ xì	trivial
瑣羅亞斯德	琐罗亚斯德	Suǒ luó yà sī dé	Zoroaster, Zarathustra or Zarathushtra (c. 1200 BC), Persian prophet and founder of Zoroastrianism
瑣羅亞斯德教	琐罗亚斯德教	Suǒ luó yà sī dé jiào	Zoroastrianism
瑣羅亞斯特	琐罗亚斯特	Suǒ luó yà sī tè	Zoroaster
瑣聞	琐闻	suǒ wén	news items
瑣記	琐记	suǒ jì	fragmentary recollections/miscellaneous notes
繁瑣	繁琐	fán suǒ	many and complicated/mired in minor details
