瘋	疯	fēng	insane/mad/wild
嚇瘋	吓疯	xià fēng	to be scared senseless
愛瘋	爱疯	ài Fēng	iPhone (slang)
撒酒瘋	撒酒疯	sā jiǔ fēng	to get drunk and act crazy/roaring drunk
林來瘋	林来疯	Lín lái fēng	Linsanity/craze over Jeremy Lin 林書豪|林书豪[Lín Shū háo]
人來瘋	人来疯	rén lái fēng	to get hyped up in front of an audience/(of children) to play up in front of guests
瘋子	疯子	fēng zi	madman/lunatic
瘋牛病	疯牛病	fēng niú bìng	mad cow disease (bovine spongiform encephalopathy)
瘋犬	疯犬	fēng quǎn	mad dog/rabid dog
瘋狂	疯狂	fēng kuáng	crazy/frantic/extreme popularity
瘋瘋癲癲	疯疯癫癫	fēng feng diān diān	deranged/erratic
瘋癱	疯瘫	fēng tān	variant of 風癱|风瘫[fēng tān]
瘋癲	疯癫	fēng diān	insane/crazy
瘋話	疯话	fēng huà	crazy talk/ravings/nonsense
發瘋	发疯	fā fēng	to go mad/to go crazy/to lose one's mind
發酒瘋	发酒疯	fā jiǔ fēng	to get wildly drunk
羊癲瘋	羊癫疯	yáng diān fēng	epilepsy
羊角瘋	羊角疯	yáng jiǎo fēng	variant of 羊角風|羊角风[yáng jiǎo fēng]
裝瘋賣傻	装疯卖傻	zhuāng fēng mài shǎ	to play the fool (idiom)/to feign madness
麻瘋	麻疯	má fēng	leprosy/also written 麻風|麻风
