皰	疱	pào	pimple/acne/blister/boil/ulcer
單純皰疹病毒	单纯疱疹病毒	dān chún pào zhěn bìng dú	herpes simplex virus (HSV, med.)
天皰瘡	天疱疮	tiān pào chuāng	(medicine) pemphigus
帶狀皰疹	带状疱疹	dài zhuàng pào zhěn	shingles/herpes zoster (medicine)
水皰	水疱	shuǐ pào	blister
滿嘴起皰	满嘴起疱	mǎn zuǐ qǐ pào	to have lips covered in blisters
痘皰	痘疱	dòu pào	pimple/acne
單純皰疹	单纯疱疹	dān chún pào zhěn	herpes simplex (med.)
皰疹	疱疹	pào zhěn	blister/bleb (watery blister)/herpes (medicine)
皰疹病毒	疱疹病毒	pào zhěn bìng dú	herpes virus (med.)
膿皰	脓疱	nóng pào	pimple containing pus
面皰	面疱	miàn pào	acne
