痺	痹	bì	paralysis/numbness
小兒痲痺	小儿痲痹	xiǎo ér má bì	variant of 小兒麻痺|小儿麻痹/infantile paralysis/polio (poliomyelitis)
小兒麻痺	小儿麻痹	xiǎo ér má bì	polio (poliomyelitis)
小兒麻痺病毒	小儿麻痹病毒	xiǎo ér má bì bìng dú	poliovirus
小兒麻痺症	小儿麻痹症	xiǎo ér má bì zhèng	poliomyelitis/infantile paralysis
痲痺	痲痹	má bì	variant of 麻痺|麻痹[má bì]
使麻痺	使麻痹	shǐ má bì	to paralyze
痺證	痹证	bì zhèng	localized pain disorder (in Chinese medicine)/arthralgia syndrome/bi disorder
腦性痲痺	脑性痲痹	nǎo xìng má bì	variant of 腦性麻痺|脑性麻痹/cerebral palsy/spasticity
腦性麻痺	脑性麻痹	nǎo xìng má bì	cerebral palsy/spasticity
震顫麻痺	震颤麻痹	zhèn chàn má bì	palsy/trembling paralysis/used for Parkinson's disease 帕金森病[Pà jīn sēn bìng]
麻痺	麻痹	má bì	paralysis/palsy/numbness/to benumb/(fig.) to lull/negligent/apathetic
麻痺大意	麻痹大意	má bì dà yì	unwary/negligent
