癮	瘾	yǐn	addiction/craving
吸毒成癮	吸毒成瘾	xī dú chéng yǐn	drug addiction
性癮	性瘾	xìng yǐn	sexual addiction
成癮	成瘾	chéng yǐn	to be addicted/addiction
成癮性	成瘾性	chéng yǐn xìng	addictiveness
有藥癮者	有药瘾者	yǒu yào yǐn zhě	addict
毒癮	毒瘾	dú yǐn	drug addiction
煙癮	烟瘾	yān yǐn	the urge to smoke/tobacco addiction
上癮	上瘾	shàng yǐn	to get into a habit/to become addicted
癮君子	瘾君子	yǐn jūn zǐ	opium eater/drug addict/chain smoker
癮頭	瘾头	yǐn tóu	craving/addiction
癮頭兒	瘾头儿	yǐn tóu r5	erhua variant of 癮頭|瘾头[yǐn tóu]
網癮	网瘾	wǎng yǐn	Internet addiction/net addiction/web addiction
網絡成癮	网络成瘾	wǎng luò chéng yǐn	Internet addiction/net addiction/web addiction
過癮	过瘾	guò yǐn	to satisfy a craving/to get a kick out of sth/gratifying/immensely enjoyable/satisfying/fulfilling
