癱	瘫	tān	paralyzed
北京癱	北京瘫	Běi jīng tān	"Beijing slouch", sitting posture said to be adopted esp. by Beijingers, popularized by 葛優|葛优[Gě Yōu]
截癱	截瘫	jié tān	paraplegia/paralysis
瘋癱	疯瘫	fēng tān	variant of 風癱|风瘫[fēng tān]
偏癱	偏瘫	piān tān	paralysis of one side of the body/hemiplegia
癱子	瘫子	tān zi	paralyzed person
癱瘓	瘫痪	tān huàn	paralysis/be paralyzed (body, transportation, etc)
癱軟	瘫软	tān ruǎn	limp/weak
腦癱	脑瘫	nǎo tān	cerebral palsy
陷於癱瘓	陷于瘫痪	xiàn yú tān huàn	to be paralyzed/at a standstill
面癱	面瘫	miàn tān	facial nerve paralysis
風癱	风瘫	fēng tān	paralysis/see also 癱瘓|瘫痪[tān huàn]
