皺	皱	zhòu	to wrinkle/wrinkled/to crease
折皺	折皱	zhé zhòu	fold/crease/wrinkle
弄皺	弄皱	nòng zhòu	to crumple
皺巴巴	皱巴巴	zhòu bā bā	wrinkled/crumpled/unironed
皺折	皱折	zhòu zhé	crease/fold/ripple/lap
皺摺	皱摺	zhòu zhé	see 皺折|皱折[zhòu zhé]
皺眉	皱眉	zhòu méi	to frown/to knit one's brow
皺眉頭	皱眉头	zhòu méi tóu	to scowl/to knit the brows
皺紋	皱纹	zhòu wén	wrinkle/CL:道[dào]
皺縮	皱缩	zhòu suō	to wrinkle/wrinkled up
皺葉歐芹	皱叶欧芹	zhòu yè ōu qín	curled-leaf parsley (Petroselinum crispum)
皺褶	皱褶	zhòu zhě	creased/wrinkled/fold/crease
皺起	皱起	zhòu qǐ	to purse/to pucker (up)
花冠皺盔犀鳥	花冠皱盔犀鸟	huā guān zhòu kuī xī niǎo	(bird species of China) wreathed hornbill (Rhyticeros undulatus)
褶皺	褶皱	zhě zhòu	fold/crease/wrinkle/geological fold
褶皺山系	褶皱山系	zhě zhòu shān xì	fold mountain system (geology)
褶皺山脈	褶皱山脉	zhě zhòu shān mài	fold mountain range (geology)
起皺紋	起皱纹	qǐ zhòu wén	to shrivel
