磯	矶	jī	breakwater/jetty
栗腹磯鶇	栗腹矶鸫	lì fù jī dōng	(bird species of China) chestnut-bellied rock thrush (Monticola rufiventris)
洛杉磯	洛杉矶	Luò shān jī	Los Angeles, California
洛杉磯時報	洛杉矶时报	Luò shān jī Shí bào	Los Angeles Times
洛杉磯湖人	洛杉矶湖人	Luò shān jī Hú rén	Los Angeles Lakers (NBA team)
洛磯山	洛矶山	Luò jī Shān	Rocky Mountains
洛磯山脈	洛矶山脉	Luò jī Shān mài	Rocky Mountains
白喉磯鶇	白喉矶鸫	bái hóu jī dōng	(bird species of China) white-throated rock thrush (Monticola gularis)
白背磯鶇	白背矶鸫	bái bèi jī dōng	(bird species of China) common rock thrush (Monticola saxatilis)
加利福尼亞大學洛杉磯分校	加利福尼亚大学洛杉矶分校	Jiā lì fú ní yà Dà xué Luò shān jī Fēn xiào	UCLA
磯鷸	矶鹬	jī yù	(bird species of China) common sandpiper (Actitis hypoleucos)
藍磯鶇	蓝矶鸫	lán jī dōng	(bird species of China) blue rock thrush (Monticola solitarius)
