硯	砚	yàn	ink-stone
同硯	同砚	tóng yàn	classmate/fellow student
墨硯	墨砚	mò yàn	ink slab/ink stone
廣硯	广砚	Guǎng Yàn	Guangnan and Yanshan (in Yunnan)
柘硯	柘砚	zhè yàn	ink slabs from a place in Shandong
滌硯	涤砚	dí yàn	to wash an ink-slab/to prepare for study (idiom)
焚硯	焚砚	fén yàn	to destroy one's ink-slab/to write no more because others write so much better (idiom)
瓦硯	瓦砚	wǎ yàn	ink stone or ink slab made from an antique palace tile
古硯	古砚	gǔ yàn	antique ink slab/CL:台[tái]
硯兄	砚兄	yàn xiōng	senior fellow student
硯友	砚友	yàn yǒu	classmate/fellow student
硯室	砚室	yàn shì	case for an ink slab
硯山	砚山	Yàn shān	Yanshan county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wén shān Zhuàng zú Miáo zú zì zhì zhōu], Yunnan
硯山縣	砚山县	Yàn shān xiàn	Yanshan county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wén shān Zhuàng zú Miáo zú zì zhì zhōu], Yunnan
硯席	砚席	yàn xí	ink slab and sitting mat/place where one studies and teaches
硯弟	砚弟	yàn dì	younger fellow student
硯水壺兒	砚水壶儿	yàn shuǐ hú r5	water container for an ink slab
硯池	砚池	yàn chí	(concave) ink stone or ink slab
硯滴	砚滴	yàn dī	small cup for adding water to an ink stone
硯瓦	砚瓦	yàn wǎ	ink slab
硯田	砚田	yàn tián	ink stone/writing as a livelihood
硯田之食	砚田之食	yàn tián zhī shí	to make a living by writing (idiom)
硯盒	砚盒	yàn hé	case for an ink stone or ink slab
硯石	砚石	yàn shí	ink stone/ink slab
硯耕	砚耕	yàn gēng	to live by writing
硯臺	砚台	yàn tái	ink stone/ink slab/CL:方[fāng]
磨穿鐵硯	磨穿铁砚	mó chuān tiě yàn	to grind one's way through an ink stone/to persevere in a difficult task (idiom)/to study diligently (idiom)
程硯秋	程砚秋	Chéng Yàn qiū	Cheng Yanqiu (1904-1958), famous Beijing opera star, second only to 梅蘭芳|梅兰芳[Méi Lán fāng]
端硯	端砚	Duān yàn	high-quality ink stonemade in Duanxi and Guangdong
筆硯	笔砚	bǐ yàn	writing brush and ink stone
辟雍硯	辟雍砚	pì yōng yàn	ink slab or ink stone of celadon or white porcelain with unglazed surface
陶硯	陶砚	táo yàn	ink stone made of pottery
