碩	硕	shuò	large/big
企管碩士	企管硕士	qǐ guǎn shuò shì	Master of Business Administration (MBA)
健碩	健硕	jiàn shuò	well-built (physique)/strong and muscular
和碩	和硕	Hé shuò	Hoxud county, Xoshut nahiyisi or Heshuo county in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
和碩縣	和硕县	Hé shuò xiàn	Hoxud or Heshuo county or Xoshut nahiyisi in Bayingolin Mongol Autonomous Prefecture 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
壯碩	壮硕	zhuàng shuò	sturdy/thick and strong
工商管理碩士	工商管理硕士	gōng shāng guǎn lǐ shuò shì	Master of Business Administration (MBA)
理學碩士	理学硕士	lǐ xué shuò shì	M.Sc. (Master of Science degree)
企業管理碩士	企业管理硕士	qǐ yè guǎn lǐ shuò shì	Master of Business Administration (MBA)
碩士	硕士	shuò shì	master's degree/person who has a master's degree/learned person
碩士學位	硕士学位	shuò shì xué wèi	master's degree
碩士生	硕士生	shuò shì shēng	Master's degree student
碩大	硕大	shuò dà	big/huge/massive
碩大無朋	硕大无朋	shuò dà wú péng	immense/enormous
碩果	硕果	shuò guǒ	major achievement/great work/triumphant success
碩果僅存	硕果仅存	shuò guǒ jǐn cún	only remaining of the great (idiom); one of the few greats extant
碩果累累	硕果累累	shuò guǒ lěi lěi	heavily laden with fruit/fertile (of trees)/many noteworthy achievements
碩麗	硕丽	shuò lì	large and beautiful
肥碩	肥硕	féi shuò	fleshy (fruit)/plump/large and firm-fleshed (limbs, body)/stout
華碩	华硕	Huá shuò	Asus (computer manufacturer)
豐碩	丰硕	fēng shuò	plentiful/substantial/rich (in resources etc)
