磚	砖	zhuān	brick/CL:塊|块[kuài]
地板磚	地板砖	dì bǎn zhuān	floor tile
地磚	地砖	dì zhuān	floor tile
引玉之磚	引玉之砖	yǐn yù zhī zhuān	lit. a brick thrown to prompt others to produce a jade (idiom)/fig. a modest suggestion intended to prompt others to come forward with better ideas
拋磚	抛砖	pāo zhuān	to get the ball rolling (abbr. for 拋磚引玉|抛砖引玉[pāo zhuān yǐn yù])
拋磚引玉	抛砖引玉	pāo zhuān yǐn yù	lit. throw out a brick and get jade thrown back (idiom)/fig. to attract others' interest or suggestions by putting forward one's own modest ideas to get the ball rolling
拍磚	拍砖	pāi zhuān	(slang) to throw brickbats/to criticize harshly
搬磚	搬砖	bān zhuān	to do hard physical labor (as a job)/(fig.) to play mahjong
搬磚砸腳	搬砖砸脚	bān zhuān zá jiǎo	to hurt oneself by one's own doing/to boomerang/to shoot oneself in the foot (idiom)
敲門磚	敲门砖	qiāo mén zhuān	lit. a brick as a door knocker (idiom); fig. a temporary expedient/to use sb as a stepping stone to fortune
板磚	板砖	bǎn zhuān	(dialect) wall brick
標磚	标砖	biāo zhuān	marker brick (in building)/keystone
添磚加瓦	添砖加瓦	tiān zhuān jiā wǎ	lit. contribute bricks and tiles for a building (idiom)/fig. to do one's bit to help
瓷磚	瓷砖	cí zhuān	ceramic tile
砌磚	砌砖	qì zhuān	to lay bricks/bricklaying
砌磚工	砌砖工	qì zhuān gōng	bricklaying
冰磚	冰砖	bīng zhuān	ice-cream brick
磚塊	砖块	zhuān kuài	brick
磚瓦	砖瓦	zhuān wǎ	tiles and bricks
磚石	砖石	zhuān shí	brick
磚窯	砖窑	zhuān yáo	brick kiln
磚窯場	砖窑场	zhuān yáo chǎng	brick kiln
磚紅土	砖红土	zhuān hóng tǔ	red brick clay
磚頭	砖头	zhuān tou	brick
耐火磚	耐火砖	nài huǒ zhuān	refractory brick/firebrick
軟木磚	软木砖	ruǎn mù zhuān	cork tile/cork flooring
金磚	金砖	Jīn Zhuān	BRIC/BRICS economic bloc (Brazil, Russia, India, China, South Africa)
金磚四國	金砖四国	Jīn zhuān Sì Guó	Brazil, Russia, India and China (BRIC)
鎂磚	镁砖	měi zhuān	magnesium brick (refractory material)
黑磚窯	黑砖窑	hēi zhuān yáo	lit. black brick kiln/factories that acquired notoriety in 2007 for slave labor
