礎	础	chǔ	foundation/base
基礎問題	基础问题	jī chǔ wèn tí	basic issue/fundamental question
基礎教育	基础教育	jī chǔ jiào yù	elementary education
基礎結構	基础结构	jī chǔ jié gòu	infrastructure
基礎設施	基础设施	jī chǔ shè shī	infrastructure
基礎課	基础课	jī chǔ kè	basic course/core curriculum
基礎速率	基础速率	jī chǔ sù lǜ	basic rate (as in ISDN)
應計基礎	应计基础	yīng jì jī chǔ	accruals basis (accounting)
現金基礎	现金基础	xiàn jīn jī chǔ	cash basis (accounting)
理論基礎	理论基础	lǐ lùn jī chǔ	theoretical foundation
基礎	基础	jī chǔ	base/foundation/basis/underlying/CL:個|个[gè]
經濟基礎	经济基础	jīng jì jī chǔ	socio-economic base/economic foundation
零基礎	零基础	líng jī chǔ	from scratch/from basics
