祕	秘	mì	variant of 秘[mì]
奧祕	奥秘	ào mì	secret/mystery
怪祕	怪秘	guài mì	strange/mystic
探祕	探秘	tàn mì	to explore a mystery/to probe the unknown
大便祕結	大便秘结	dà biàn mì jié	constipation
祕傳	秘传	mì chuán	to hand down secret knowledge from generation to generation within a school or family etc
祕方	秘方	mì fāng	secret recipe
祕本	秘本	mì běn	a treasured rare book
祕結	秘结	mì jié	constipation
祕而不宣	秘而不宣	mì ér bù xuān	to withhold information/to keep sth secret
祕藏	秘藏	mì cáng	to stash away/a hoard/a cache
神祕莫測	神秘莫测	shén mì mò cè	mystery/unfathomable/enigmatic
詭祕	诡秘	guǐ mì	secretive/furtive/surreptitious
