祿	禄	lù	good fortune/official salary
世祿之家	世禄之家	shì lù zhī jiā	family with hereditary emoluments
他加祿語	他加禄语	Tā jiā lù yǔ	Tagalog (language)
伯多祿	伯多禄	Bó duō lù	Peter (Catholic transliteration)
俸祿	俸禄	fèng lù	official's salary (in feudal times)
光祿勳	光禄勋	guāng lù xūn	Supervisor of Attendants in imperial China, one of the Nine Ministers 九卿[jiǔ qīng]
光祿大夫	光禄大夫	guāng lù dài fu	honorific title during Tang to Qing times, approx. "Glorious grand master"
利祿	利禄	lì lù	wealth and official post
利祿薰心	利禄薰心	lì lù xūn xīn	to be eager for wealth and emolument (idiom)
功名利祿	功名利禄	gōng míng lì lù	position and wealth (idiom); rank, fame and fortune
加官進祿	加官进禄	jiā guān jìn lù	promotion in official post and salary raise (idiom)
回祿	回禄	huí lù	traditional Fire God/destruction by fire
回祿之災	回禄之灾	huí lù zhī zāi	to have one's house burned down/fire disaster
天祿	天禄	tiān lù	auspicious sculpted animal, usu. a unicorn or deer with a long tail/possession of the empire
安祿山	安禄山	Ān Lù shān	An Lushan (703-757), Tang general, leader of the An-Shi Rebellion 安史之亂|安史之乱[Ān Shǐ zhī Luàn]
尸祿	尸禄	shī lù	to hold a sinecure
巴爾多祿茂	巴尔多禄茂	Bā ěr duō lù mào	Bartholomew
懷祿	怀禄	huái lù	to yearn for a high official position
拉匝祿	拉匝禄	Lā zā lù	Lazarus (Catholic transliteration)
李天祿	李天禄	Lǐ Tiān lù	Li Tianlu (1910-1998), Taiwanese master puppeteer
榮祿大夫	荣禄大夫	róng lù dà fū	a rank in government service
無功不受祿	无功不受禄	wú gōng bù shòu lù	Don't get a reward if it's not deserved. (idiom)
無功受祿	无功受禄	wú gōng shòu lù	to get undeserved rewards (idiom)
無祿	无禄	wú lù	to be unsalaried/to be unfortunate/death
爵祿	爵禄	jué lù	rank and emolument of nobility
祉祿	祉禄	zhǐ lù	happiness and wealth
世祿	世禄	shì lù	hereditary benefits such as rank and wealth
祿位	禄位	lù wèi	official rank and salary
祿俸	禄俸	lù fèng	official pay
祿勸	禄劝	Lù quàn	Luquan Yizu Miaozu autonomous county in Yunnan
祿勸彞族苗族自治縣	禄劝彝族苗族自治县	Lù quàn Yí zú Miáo zú Zì zhì xiàn	Luquan Yi and Miao autonomous county in Kunming 昆明[Kūn míng], Yunnan
祿勸縣	禄劝县	Lù quàn xiàn	Luquan Yi and Miao autonomous county in Kunming 昆明[Kūn míng], Yunnan
祿命	禄命	lù mìng	person's lot through life
祿星	禄星	lù xīng	Star God of Rank and Affluence (Daoism)
祿秩	禄秩	lù zhì	official rank and pay
祿籍	禄籍	lù jí	good fortune and reputation
祿蠹	禄蠹	lù dù	sinecurist
祿豐	禄丰	Lù fēng	Lufeng county in Chuxiong Yi autonomous prefecture 楚雄彞族自治州|楚雄彝族自治州[Chǔ xióng Yí zú zì zhì zhōu], Yunnan
祿豐縣	禄丰县	Lù fēng xiàn	Lufeng county in Chuxiong Yi autonomous prefecture 楚雄彞族自治州|楚雄彝族自治州[Chǔ xióng Yí zú zì zhì zhōu], Yunnan
祿食	禄食	lù shí	official pay
祿養	禄养	lù yǎng	to support sb with official pay
祿餌	禄饵	lù ěr	official pay as bait (for talent)
福祿貝爾	福禄贝尔	Fú lù bèi ěr	surname Fröbel or Froebel/Friedrich Wilhelm August Fröbel (1782-1852), German pedagogue
秩祿	秩禄	zhì lù	official salaries
美祿	美禄	měi lù	Nestlé Milo milk drink (popular in Hong Kong)
聖伯多祿大殿	圣伯多禄大殿	Shèng Bó duō lù Dà diàn	St Peter's Basilica, Vatican City
葛邏祿	葛逻禄	Gě luó lù	Qarluq or Karluk nomadic tribe, a Turkic ethnic minority in ancient times
蘇祿	苏禄	Sū lù	old term for Sulawesi or Celebes 苏拉威西
逃祿	逃禄	táo lù	to avoid employment
鈕祜祿	钮祜禄	Niǔ hù lù	Niohuru (prominent Manchu clan)
長生祿位	长生禄位	cháng shēng lù wèi	tablet and altar honoring a great benefactor (idiom)
阿史那骨咄祿	阿史那骨咄禄	Ā shǐ nà Gǔ duō lù	Ashina Qutlugh, personal name of 頡跌利施可汗|颉跌利施可汗[Jié diē lì shī Kè hán]
食祿	食禄	shí lù	to draw government pay/to be in public service/salary of an official
高官厚祿	高官厚禄	gāo guān hòu lù	high post and generous salary (idiom); promotion to a high official position
高薪厚祿	高薪厚禄	gāo xīn hòu lù	high salary, generous remuneration
