禦	御	yù	to defend/to resist
守禦	守御	shǒu yù	to defend
抵禦	抵御	dǐ yù	to resist/to withstand
兄弟鬩於墻，外禦其侮	兄弟阋于墙，外御其侮	xiōng dì xì yú qiáng , wài yù qí wǔ	internal disunity dissolves at the threat of an invasion from outside (idiom)
禦夫座	御夫座	Yù fū zuò	Auriga (constellation)
禦寒	御寒	yù hán	to defend against the cold/to keep warm
禦敵	御敌	yù dí	armed enemy of the nation/enemy of the Emperor/fig. championship challenger/contender opposing champion in sporting contest
防禦	防御	fáng yù	defense/to defend
防禦工事	防御工事	fáng yù gōng shì	fortification/defensive structure
防禦性	防御性	fáng yù xìng	defensive (weapons)
防禦率	防御率	fáng yù lǜ	earned run average (baseball)
防禦術	防御术	fáng yù shù	defensive art
