禱	祷	dǎo	prayer/pray/supplication
代禱	代祷	dài dǎo	to pray on behalf of sb
做禱告	做祷告	zuò dǎo gào	to pray
啟應祈禱	启应祈祷	qǐ yìng qí dǎo	Introitus (section of Catholic mass)
晚禱	晚祷	wǎn dǎo	evening prayer/evensong/vespers
晨禱	晨祷	chén dǎo	(Anglican) matins/(Catholic) lauds
祈禱	祈祷	qí dǎo	to pray/to say one's prayers/prayer
祝禱	祝祷	zhù dǎo	to pray
主禱文	主祷文	zhǔ dǎo wén	Lord's Prayer
禱告	祷告	dǎo gào	to pray/prayer
禱念	祷念	dǎo niàn	to pray/to say one's prayers
禱文	祷文	dǎo wén	litany (text of a prayer)
禱祝	祷祝	dǎo zhù	to pray
禱詞	祷词	dǎo cí	litany (text of a prayer)
跪禱	跪祷	guì dǎo	to kneel in prayer
閉會祈禱	闭会祈祷	bì huì qí dǎo	benediction
開會祈禱	开会祈祷	kāi huì qí dǎo	invocation
默禱	默祷	mò dǎo	silent prayer/pray in silence
