禿	秃	tū	bald/blunt
對著和尚罵賊禿	对着和尚骂贼秃	duì zhe hé shang mà zéi tū	lit. to curse a baldhead to a monk's face (idiom)/fig. to scold sb indirectly/to criticize obliquely
光禿禿	光秃秃	guāng tū tū	bald/bare
禿子	秃子	tū zi	bald-headed person/baldy
禿寶蓋	秃宝盖	tū bǎo gài	name of "cover" radical in Chinese characters (Kangxi radical 14)/see also 冖[mì]
禿瓢	秃瓢	tū piáo	bald head (colloquial)
禿瘡	秃疮	tū chuāng	(dialect) favus of the scalp (skin disease)
禿發	秃发	Tū fā	a branch of the Xianbei 鮮卑|鲜卑 nomadic people
禿頂	秃顶	tū dǐng	bald head
禿頭	秃头	tū tóu	baldness
禿驢	秃驴	tū lǘ	Buddhist monk (mocking)/lit. bald donkey
禿鷲	秃鹫	tū jiù	vulture/(bird species of China) cinereous vulture (Aegypius monachus)
禿鷹	秃鹰	tū yīng	condor/bald eagle
禿鸛	秃鹳	tū guàn	(bird species of China) lesser adjutant (Leptoptilos javanicus)
禿鼻烏鴉	秃鼻乌鸦	tū bí wū yā	(bird species of China) rook (Corvus frugilegus)
賊禿	贼秃	zéi tū	(derog.) Buddhist monk
