穀	谷	gǔ	grain/corn
五穀豐登	五谷丰登	wǔ gǔ fēng dēng	abundant harvest of all food crops/bumper grain harvest
全穀物	全谷物	quán gǔ wù	whole grain
包穀	包谷	bāo gǔ	(dialect) maize/corn/also written 苞穀|苞谷[bāo gǔ]
四體不勤，五穀不分	四体不勤，五谷不分	sì tǐ bù qín , wǔ gǔ bù fēn	never move your four limbs, can't distinguish the five crops (idiom); living as a parasite
土穀祠	土谷祠	tǔ gǔ cí	local monastery
川穀	川谷	chuān gǔ	same as 薏苡[yì yǐ]
布穀	布谷	bù gǔ	cuckoo
打穀	打谷	dǎ gǔ	to thresh
打穀場	打谷场	dǎ gǔ cháng	threshing floor
打穀機	打谷机	dǎ gǔ jī	threshing machine
揚穀	扬谷	yáng gǔ	to winnow
暾欲穀	暾欲谷	Tūn yù gǔ	Tonyukuk (died c. 724 AD)
浪穀	浪谷	làng gǔ	trough of a wave/(fig.) low point/lowest level
百穀	百谷	bǎi gǔ	all the grains/every kind of cereal crop
禾穀	禾谷	hé gǔ	cereal/food grain
稻穀	稻谷	dào gǔ	rice crops
五穀	五谷	wǔ gǔ	five crops, e.g. millet 粟[sù], soybean 豆[dòu], sesame 麻[má], barley 麥|麦[mài], rice 稻[dào] or other variants/all crops/all grains/oats, peas, beans and barley
穀倉	谷仓	gǔ cāng	barn
穀子	谷子	gǔ zi	millet
穀梁	谷梁	Gǔ liáng	surname Guliang/abbr. for 穀梁傳|谷梁传[Gǔ liáng Zhuàn], Guliang Annals
穀梁傳	谷梁传	Gǔ liáng Zhuàn	Guliang Annals, commentary on the Spring and Autumn Annals 春秋[Chūn qiū], first published during the Han Dynasty
穀歌	谷歌	Gǔ gē	variant of 谷歌[Gǔ gē]
穀殼	谷壳	gǔ ké	husk of grain/grain and chaff
穀氨酸	谷氨酸	gǔ ān suān	glutamic acid (Glu), an amino acid
穀氨酸鈉	谷氨酸钠	gǔ ān suān nà	monosodium glutamate (MSG) (E621)
穀物	谷物	gǔ wù	cereal/grain
穀神	谷神	gǔ shén	harvest God
穀神星	谷神星	Gǔ shén xīng	Ceres, dwarf planet in the asteroid belt between Mars and Jupiter, discovered in 1801 by G. Piazzi
穀穗	谷穗	gǔ suì	ear of grain/gerbe (used on coats of arms)
穀粒	谷粒	gǔ lì	grain (of cereal)
穀糠	谷糠	gǔ kāng	grain chaff
穀草	谷草	gǔ cǎo	straw
穀雨	谷雨	Gǔ yǔ	Guyu or Grain Rain, 6th of the 24 solar terms 二十四節氣|二十四节气 20th April-4th May
穀類	谷类	gǔ lèi	cereal/grain
積穀防饑	积谷防饥	jī gǔ fáng jī	storing grain against a famine/to lay sth by for a rainy day/also written 積穀防飢|积谷防饥
簸穀	簸谷	bǒ gǔ	to winnow grain
脆穀樂	脆谷乐	Cuì gǔ lè	Cheerios (breakfast cereal)
苞穀	苞谷	bāo gǔ	variant of 包穀|包谷[bāo gǔ]
辟穀	辟谷	pì gǔ	to abstain from eating cereals (Taoist practice)/to fast
