穩	稳	wěn	settled/steady/stable
不穩定	不稳定	bù wěn dìng	unstable
不穩定氣流	不稳定气流	bù wěn dìng qì liú	turbulent
不穩平衡	不稳平衡	bù wěn píng héng	unstable equilibrium
不穩性	不稳性	bù wěn xìng	instability
任憑風浪起，穩坐釣魚臺	任凭风浪起，稳坐钓鱼台	rèn píng fēng làng qǐ , wěn zuò diào yú tái	lit. sitting at ease in a fishing boat despite wind and storm (idiom); to stay calm during tense situation/a cool head in a crisis
十成九穩	十成九稳	shí chéng jiǔ wěn	see 十拿九穩|十拿九稳[shí ná jiǔ wěn]
十拿九穩	十拿九稳	shí ná jiǔ wěn	to be a cinch/in the bag/(of a person) confident of success
單穩	单稳	dān wěn	monostable/single-side stable (relays)
嘴穩	嘴稳	zuǐ wěn	able to keep a secret
四平八穩	四平八稳	sì píng bā wěn	everything steady and stable (idiom); overcautious and unimaginary
安穩	安稳	ān wěn	smooth and steady
平穩	平稳	píng wěn	smooth/steady
把穩	把稳	bǎ wěn	trustworthy/dependable
沉穩	沉稳	chén wěn	steady/calm/unflustered
準穩旋渦結構	准稳旋涡结构	zhǔn wěn xuán wō jié gòu	quasi-stationary spiral structure QSSS (astrophysics)
不穩	不稳	bù wěn	unstable/unsteady
穩中求進	稳中求进	wěn zhōng qiú jìn	to make progress while ensuring stability
穩便	稳便	wěn biàn	reliable/at one's convenience/as you wish
穩健	稳健	wěn jiàn	firm/stable and steady
穩勝	稳胜	wěn shèng	to beat comfortably/to win easily/abbr. for 穩操勝券|稳操胜券, to have victory within one's grasp
穩厚	稳厚	wěn hòu	steady and honest
穩固	稳固	wěn gù	stable/steady/firm/to stabilize
穩坐釣魚臺	稳坐钓鱼台	wěn zuò diào yú tái	lit. sitting at ease in a fishing boat despite storms (idiom); to stay calm during tense situation/a cool head in a crisis
穩壓	稳压	wěn yā	stable voltage
穩如泰山	稳如泰山	wěn rú Tài Shān	steady as Mt Tai/as safe as houses
穩妥	稳妥	wěn tuǒ	dependable
穩婆	稳婆	wěn pó	midwife (old term)
穩定	稳定	wěn dìng	steady/stable/stability/to stabilize/to pacify
穩定塘	稳定塘	wěn dìng táng	waste stabilization pond
穩定度	稳定度	wěn dìng dù	degree of stability
穩定性	稳定性	wěn dìng xìng	stability
穩定物價	稳定物价	wěn dìng wù jià	stable prices/commodity prices fixed by government (in a command economy)/to valorize (a commodity)
穩實	稳实	wěn shí	steady/calm and practical
穩恆	稳恒	wěn héng	steady/stable and permanent/constant/steady-state
穩恆態	稳恒态	wěn héng tài	steady state/stable and permanent attitude
穩態	稳态	wěn tài	steady state/homeostasis
穩態理論	稳态理论	wěn tài lǐ lùn	the steady-state theory (cosmology)
穩扎穩打	稳扎稳打	wěn zhā wěn dǎ	to go steady and strike hard (in fighting)/fig. steadily and surely
穩拿	稳拿	wěn ná	a sure gain/sth one is sure to obtain
穩操勝券	稳操胜券	wěn cāo shèng quàn	grasp it and victory is assured/to have success within one's grasp (idiom)
穩操勝算	稳操胜算	wěn cāo shèng suàn	to be assured of success
穩步	稳步	wěn bù	steadily/a steady pace
穩步不前	稳步不前	wěn bù bù qián	to mark time and make no advances (idiom)
穩獲	稳获	wěn huò	a sure catch/sth one is sure to obtain
穩當	稳当	wěn dang	reliable/secure/stable/firm
穩練	稳练	wěn liàn	steady and proficient/skilled and reliable
穩貼	稳贴	wěn tiē	safe/to appease/to reassure
穩重	稳重	wěn zhòng	steady/earnest/staid
穩靜	稳静	wěn jìng	steady/calm
站穩	站稳	zhàn wěn	to stand firm
站穩腳步	站稳脚步	zhàn wěn jiǎo bù	to gain a firm foothold/(fig.) to get oneself established
站穩腳跟	站稳脚跟	zhàn wěn jiǎo gēn	to stand firmly/to gain a foothold/to establish oneself
維穩	维稳	wéi wěn	to maintain social stability
長期穩定性	长期稳定性	cháng qī wěn dìng xìng	long-term stability
雙穩	双稳	shuāng wěn	bistable
電子穩定程序	电子稳定程序	diàn zǐ wěn dìng chéng xù	(automotive) electronic stability program (ESP)
