竊	窃	qiè	to steal/secretly/(humble) I
偷香竊玉	偷香窃玉	tōu xiāng qiè yù	lit. stolen scent, pilfered jade (idiom); philandering/secret illicit sex
剽竊	剽窃	piāo qiè	to plunder/to plagiarize
失竊	失窃	shī qiè	to lose by theft/to have one's property stolen
慣竊	惯窃	guàn qiè	habitual thief
扒竊	扒窃	pá qiè	to steal/to pick pockets/to frisk
撬竊	撬窃	qiào qiè	burglary/house-breaking
攘竊	攘窃	rǎng qiè	to usurp/to steal
條斑竊蠹	条斑窃蠹	tiáo bān qiè dù	furniture beetle
盜竊	盗窃	dào qiè	to steal
偷竊	偷窃	tōu qiè	to steal/to pilfer
竊取	窃取	qiè qǔ	to steal/to seize
竊喜	窃喜	qiè xǐ	to be secretly delighted
竊國者侯，竊鉤者誅	窃国者侯，窃钩者诛	qiè guó zhě hóu , qiè gōu zhě zhū	steal the whole country and they make you a prince, steal a hook and they hang you (idiom, from Daoist classic Zhuangzi 莊子|庄子)
竊嫌	窃嫌	qiè xián	suspected thief (Tw)
竊據	窃据	qiè jù	to usurp/to claim unjustly/to expropriate
竊權	窃权	qiè quán	to usurp authority/to hold power improperly
竊盜	窃盗	qiè dào	theft/to steal
竊竊	窃窃	qiè qiè	privately/secretly/unobtrusively
竊竊私語	窃窃私语	qiè qiè sī yǔ	to whisper
竊笑	窃笑	qiè xiào	to snigger/to titter
竊聲	窃声	qiè shēng	in a whisper/in stealthy tones
竊聽	窃听	qiè tīng	to eavesdrop/to wiretap
竊聽器	窃听器	qiè tīng qì	tapping device/bug
竊蛋龍	窃蛋龙	qiè dàn lóng	oviraptorosaurus (egg-stealing dinosaur)
竊蠹甲	窃蠹甲	qiè dù jiǎ	drugstore beetle/CL:隻|只[zhī]
竊賊	窃贼	qiè zéi	thief
竊鉤者誅，竊國者侯	窃钩者诛，窃国者侯	qiè gōu zhě zhū , qiè guó zhě hóu	steal a hook and they hang you, steal the whole country and they make you a prince (idiom, from Daoist classic Zhuangzi 莊子|庄子)
篡竊	篡窃	cuàn qiè	to usurp/to seize
行竊	行窃	xíng qiè	to steal/to commit a robbery
身份盜竊	身份盗窃	shēn fèn dào qiè	identity theft
